"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,4771,33.45,2,3,6579,1,1,0
"2",1.00807581543,4771,33.45,2,3,6579,1,1,0
"3",Inf,4771,33.45,2,3,6579,1,1,0
"4",1.38671695915,4771,33.45,2,3,6579,1,1,0
"5",Inf,4771,33.45,2,3,6579,1,1,0
"6",Inf,4771,33.45,2,3,6579,1,1,0
"7",1.12160862628,4771,33.45,2,3,6579,1,1,0
"8",Inf,4771,33.45,2,3,6579,1,1,0
"9",Inf,4771,33.45,2,3,6579,1,1,0
"10",Inf,4771,33.45,2,3,6579,1,1,0
"11",Inf,4771,33.45,2,3,6579,1,1,0
"12",1.57890689361,4771,33.45,2,3,6579,1,1,0
"13",Inf,4771,33.45,2,3,6579,1,1,0
"14",Inf,4771,33.45,2,3,6579,1,1,0
"15",Inf,4771,33.45,2,3,6579,1,1,0
"16",1,4771,33.45,2,3,6579,1,1,0
"17",1.00444653527,4771,33.45,2,3,6579,1,1,0
"18",Inf,4771,33.45,2,3,6579,1,1,0
"19",Inf,4771,33.45,2,3,6579,1,1,0
"20",Inf,4771,33.45,2,3,6579,1,1,0
"21",0.993505937642,4447,33.66,2,3,6508,1,1,0
"22",Inf,4447,33.66,2,3,6508,1,1,0
"23",1.01599329415,4447,33.66,2,3,6508,1,1,0
"24",NA,4447,33.66,2,3,6508,1,1,0
"25",1,4771,33.45,2,3,6579,1,1,0
"26",Inf,4771,33.45,2,3,6579,1,1,0
"27",1.00165666402,4771,33.45,2,3,6579,1,1,0
"28",1.00139501623,4771,33.45,2,3,6579,1,1,0
"29",Inf,4771,33.45,2,3,6579,1,1,0
"30",1.38140690951,4771,33.45,2,3,6579,1,1,0
"31",Inf,4771,33.45,2,3,6579,1,1,0
"32",Inf,4771,33.45,2,3,6579,1,1,0
"33",0.994874011624,4627,33.77,2,3,6492,1,1,0
"34",0.997100760245,4627,33.77,2,3,6492,1,1,0
"35",0.81024156389,4627,50.75,1,3,4844,1,1,0
"36",Inf,4627,50.75,1,3,4844,1,1,0
"37",0.81024156389,4627,50.75,1,3,4844,1,1,0
"38",1.1145550058,4627,50.75,1,3,4844,1,1,0
"39",0.81024156389,4627,50.75,1,3,4844,1,1,0
"40",Inf,4627,50.75,1,3,4844,1,1,0
"41",0.811295706052,4627,50.75,1,3,4844,1,1,0
"42",NA,4627,50.75,1,3,4844,1,1,0
"43",1,4771,33.45,2,3,6579,1,1,0
"44",Inf,4771,33.45,2,3,6579,1,1,0
"45",Inf,4771,33.45,2,3,6579,1,1,0
"46",Inf,4771,33.45,2,3,6579,1,1,0
"47",1,4771,33.45,2,3,6579,1,1,0
"48",Inf,4771,33.45,2,3,6579,1,1,0
"49",Inf,4771,33.45,2,3,6579,1,1,0
"50",Inf,4771,33.45,2,3,6579,1,1,0
"51",Inf,4771,33.45,2,3,6579,1,1,0
"52",Inf,4771,33.45,2,3,6579,1,1,0
"53",Inf,4771,33.45,2,3,6579,1,1,0
"54",Inf,4771,33.45,2,3,6579,1,1,0
"55",Inf,4771,33.45,2,3,6579,1,1,0
"56",Inf,4771,33.45,2,3,6579,1,1,0
"57",Inf,4771,33.45,2,3,6579,1,1,0
"58",1.00686136214,4771,33.45,2,3,6579,1,1,0
"59",1,4771,33.45,2,3,6579,1,1,0
"60",Inf,4771,33.45,2,3,6579,1,1,0
"61",1,4771,33.45,2,3,6579,1,1,0
"62",Inf,4771,33.45,2,3,6579,1,1,0
"63",Inf,4771,33.45,2,3,6579,1,1,0
"64",1,4771,33.45,2,3,6579,1,1,0
"65",1.17247406674,4771,33.45,2,3,6579,1,1,0
"66",Inf,4771,33.45,2,3,6579,1,1,0
"67",Inf,4771,33.45,2,3,6579,1,1,0
"68",1.00255312487,4771,33.45,2,3,6579,1,1,0
"69",0.945178491003,4352,50.86,2,3,5614,1,1,0
"70",NA,4352,50.86,2,3,5614,1,1,0
"71",1,4771,33.45,2,3,6579,1,1,0
"72",Inf,4771,33.45,2,3,6579,1,1,0
"73",1.24367620957,4771,33.45,2,3,6579,1,1,0
"74",Inf,4771,33.45,2,3,6579,1,1,0
"75",Inf,4771,33.45,2,3,6579,1,1,0
