"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,193468,265.82,1,3,4000,1,1,0
"2",0.975058720318,149218,231.91,1,3,3667,1,1,0
"3",Inf,149218,231.91,1,3,3667,1,1,0
"4",1.00379539164,149218,231.91,1,3,3667,1,1,0
"5",Inf,149218,231.91,1,3,3667,1,1,0
"6",1.63961598964,149218,231.91,1,3,3667,1,1,0
"7",Inf,149218,231.91,1,3,3667,1,1,0
"8",Inf,149218,231.91,1,3,3667,1,1,0
"9",Inf,149218,231.91,1,3,3667,1,1,0
"10",0.990761702958,149218,231.91,1,3,3667,1,1,0
"11",Inf,149218,231.91,1,3,3667,1,1,0
"12",Inf,149218,231.91,1,3,3667,1,1,0
"13",0.98094624586,149218,231.91,1,3,3667,1,1,0
"14",Inf,149218,231.91,1,3,3667,1,1,0
"15",Inf,149218,231.91,1,3,3667,1,1,0
"16",1.02411858327,149218,231.91,1,3,3667,1,1,0
"17",Inf,149218,231.91,1,3,3667,1,1,0
"18",Inf,149218,231.91,1,3,3667,1,1,0
"19",Inf,149218,231.91,1,3,3667,1,1,0
"20",0.975058720318,149218,231.91,1,3,3667,1,1,0
"21",Inf,149218,231.91,1,3,3667,1,1,0
"22",NA,149218,231.91,1,3,3667,1,1,0
"23",1,193468,265.82,1,3,4000,1,1,0
"24",Inf,193468,265.82,1,3,4000,1,1,0
"25",Inf,193468,265.82,1,3,4000,1,1,0
"26",Inf,193468,265.82,1,3,4000,1,1,0
"27",Inf,193468,265.82,1,3,4000,1,1,0
"28",1,193468,265.82,1,3,4000,1,1,0
"29",Inf,193468,265.82,1,3,4000,1,1,0
"30",Inf,193468,265.82,1,3,4000,1,1,0
"31",Inf,193468,265.82,1,3,4000,1,1,0
"32",Inf,193468,265.82,1,3,4000,1,1,0
"33",Inf,193468,265.82,1,3,4000,1,1,0
"34",1,193468,265.82,1,3,4000,1,1,0
"35",Inf,193468,265.82,1,3,4000,1,1,0
"36",Inf,193468,265.82,1,3,4000,1,1,0
"37",Inf,193468,265.82,1,3,4000,1,1,0
"38",Inf,193468,265.82,1,3,4000,1,1,0
"39",NA,193468,265.82,1,3,4000,1,1,0
"40",1,193468,265.82,1,3,4000,1,1,0
"41",Inf,193468,265.82,1,3,4000,1,1,0
"42",Inf,193468,265.82,1,3,4000,1,1,0
"43",1,193468,265.82,1,3,4000,1,1,0
"44",Inf,193468,265.82,1,3,4000,1,1,0
"45",Inf,193468,265.82,1,3,4000,1,1,0
"46",1.00475054799,193468,265.82,1,3,4000,1,1,0
"47",Inf,193468,265.82,1,3,4000,1,1,0
"48",Inf,193468,265.82,1,3,4000,1,1,0
"49",0.979579028445,193468,297.53,1,3,3739,1,1,0
"50",0.979579028445,193468,297.53,1,3,3739,1,1,0
"51",Inf,193468,297.53,1,3,3739,1,1,0
"52",0.979579028445,193468,297.53,1,3,3739,1,1,0
"53",Inf,193468,297.53,1,3,3739,1,1,0
"54",1.11186191885,193468,297.53,1,3,3739,1,1,0
"55",NA,193468,297.53,1,3,3739,1,1,0
"56",1,193468,265.82,1,3,4000,1,1,0
"57",Inf,193468,265.82,1,3,4000,1,1,0
"58",Inf,193468,265.82,1,3,4000,1,1,0
"59",Inf,193468,265.82,1,3,4000,1,1,0
"60",Inf,193468,265.82,1,3,4000,1,1,0
"61",0.976070815306,129023,264.48,1,3,3899,1,1,0
"62",Inf,129023,264.48,1,3,3899,1,1,0
"63",Inf,129023,264.48,1,3,3899,1,1,0
"64",Inf,129023,264.48,1,3,3899,1,1,0
"65",Inf,129023,264.48,1,3,3899,1,1,0
"66",1.11554526218,129023,264.48,1,3,3899,1,1,0
"67",Inf,129023,264.48,1,3,3899,1,1,0
"68",Inf,129023,264.48,1,3,3899,1,1,0
"69",Inf,129023,264.48,1,3,3899,1,1,0
"70",Inf,129023,264.48,1,3,3899,1,1,0
"71",Inf,129023,264.48,1,3,3899,1,1,0
"72",Inf,129023,264.48,1,3,3899,1,1,0
"73",Inf,129023,264.48,1,3,3899,1,1,0
"74",Inf,129023,264.48,1,3,3899,1,1,0
"75",Inf,129023,264.48,1,3,3899,1,1,0
"76",0.974294972231,129023,262.12,1,3,3861,1,1,0
"77",NA,129023,262.12,1,3,3861,1,1,0
"78",1,193468,265.82,1,3,4000,1,1,0
"79",Inf,193468,265.82,1,3,4000,1,1,0
"80",Inf,193468,265.82,1,3,4000,1,1,0
"81",1,193468,265.82,1,3,4000,1,1,0
"82",Inf,193468,265.82,1,3,4000,1,1,0
