"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,486,15.7,1,3,3949,1,1,16
"2",0.817538906457,490,15.74,1,4,3745,1,1,3
"3",Inf,490,15.74,1,4,3745,1,1,3
"4",0.979444327685,490,15.74,1,4,3745,1,1,3
"5",Inf,490,15.74,1,4,3745,1,1,3
"6",0.757749304725,468,18.99,1,4,3383,1,1,1
"7",0.975220013738,468,18.99,1,4,3383,1,1,1
"8",Inf,468,18.99,1,4,3383,1,1,1
"9",Inf,468,18.99,1,4,3383,1,1,1
"10",Inf,468,18.99,1,4,3383,1,1,1
"11",Inf,468,18.99,1,4,3383,1,1,1
"12",0.813858993893,468,18.99,1,4,3383,1,1,1
"13",Inf,468,18.99,1,4,3383,1,1,1
"14",Inf,468,18.99,1,4,3383,1,1,1
"15",0.742962127014,444,18.08,1,4,3123,1,1,1
"16",0.752045477522,444,18.08,1,4,3123,1,1,1
"17",Inf,444,18.08,1,4,3123,1,1,1
"18",0.742962127014,444,18.08,1,4,3123,1,1,1
"19",0.742962127014,444,18.08,1,4,3123,1,1,1
"20",0.763668511994,444,18.08,1,4,3123,1,1,1
"21",Inf,444,18.08,1,4,3123,1,1,1
"22",NA,444,18.08,1,4,3123,1,1,1
"23",1,486,15.7,1,3,3949,1,1,16
"24",Inf,486,15.7,1,3,3949,1,1,16
"25",1.37627306272,486,15.7,1,3,3949,1,1,16
"26",Inf,486,15.7,1,3,3949,1,1,16
"27",1.3897881161,486,15.7,1,3,3949,1,1,16
"28",1.00570722135,486,15.7,1,3,3949,1,1,16
"29",Inf,486,15.7,1,3,3949,1,1,16
"30",1.86015671028,486,15.7,1,3,3949,1,1,16
"31",1.46056774428,486,15.7,1,3,3949,1,1,16
"32",Inf,486,15.7,1,3,3949,1,1,16
"33",1.13690846257,486,15.7,1,3,3949,1,1,16
"34",Inf,486,15.7,1,3,3949,1,1,16
"35",Inf,486,15.7,1,3,3949,1,1,16
"36",Inf,486,15.7,1,3,3949,1,1,16
"37",Inf,486,15.7,1,3,3949,1,1,16
"38",1.02126429023,486,15.7,1,3,3949,1,1,16
"39",Inf,486,15.7,1,3,3949,1,1,16
