"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,29590,15.84,3,3,10287,1,1,28
"2",Inf,29590,15.84,3,3,10287,1,1,28
"3",Inf,29590,15.84,3,3,10287,1,1,28
"4",1,29590,15.84,3,3,10287,1,1,28
"5",Inf,29590,15.84,3,3,10287,1,1,28
"6",Inf,29590,15.84,3,3,10287,1,1,28
"7",1.26892531614,29590,15.84,3,3,10287,1,1,28
"8",1.39042545347,29590,15.84,3,3,10287,1,1,28
"9",1.0019199288,29590,15.84,3,3,10287,1,1,28
"10",Inf,29590,15.84,3,3,10287,1,1,28
"11",Inf,29590,15.84,3,3,10287,1,1,28
"12",Inf,29590,15.84,3,3,10287,1,1,28
"13",1.08795509578,29590,15.84,3,3,10287,1,1,28
"14",NA,29590,15.84,3,3,10287,1,1,28
"15",1,29590,15.84,3,3,10287,1,1,28
"16",1,29590,15.84,3,3,10287,1,1,28
"17",Inf,29590,15.84,3,3,10287,1,1,28
"18",Inf,29590,15.84,3,3,10287,1,1,28
"19",1.47372474336,29590,15.84,3,3,10287,1,1,28
"20",0.9888694138,32199,50.69,3,3,11469,1,1,28
"21",Inf,32199,50.69,3,3,11469,1,1,28
"22",1.00000857231,32199,50.69,3,3,11469,1,1,28
"23",1.10883890872,32199,50.69,3,3,11469,1,1,28
"24",0.9888694138,32199,50.69,3,3,11469,1,1,28
"25",1.01475988853,32199,50.69,3,3,11469,1,1,28
"26",NA,32199,50.69,3,3,11469,1,1,28
"27",1,29590,15.84,3,3,10287,1,1,28
"28",Inf,29590,15.84,3,3,10287,1,1,28
"29",Inf,29590,15.84,3,3,10287,1,1,28
"30",Inf,29590,15.84,3,3,10287,1,1,28
"31",Inf,29590,15.84,3,3,10287,1,1,28
"32",Inf,29590,15.84,3,3,10287,1,1,28
"33",1,29590,15.84,3,3,10287,1,1,28
"34",1.13351005205,29590,15.84,3,3,10287,1,1,28
"35",Inf,29590,15.84,3,3,10287,1,1,28
"36",0.816096050315,30310,18.83,3,3,9110,1,1,9
"37",Inf,30310,18.83,3,3,9110,1,1,9
"38",Inf,30310,18.83,3,3,9110,1,1,9
"39",Inf,30310,18.83,3,3,9110,1,1,9
"40",Inf,30310,18.83,3,3,9110,1,1,9
"41",1.28451162288,30310,18.83,3,3,9110,1,1,9
"42",Inf,30310,18.83,3,3,9110,1,1,9
"43",1.41751241876,30310,18.83,3,3,9110,1,1,9
"44",1.13508425351,30310,18.83,3,3,9110,1,1,9
"45",NA,30310,18.83,3,3,9110,1,1,9
"46",1,29590,15.84,3,3,10287,1,1,28
"47",1.68410115042,29590,15.84,3,3,10287,1,1,28
"48",1.48950304786,29590,15.84,3,3,10287,1,1,28
"49",1,29590,15.84,3,3,10287,1,1,28
"50",Inf,29590,15.84,3,3,10287,1,1,28
"51",Inf,29590,15.84,3,3,10287,1,1,28
"52",Inf,29590,15.84,3,3,10287,1,1,28
"53",0.998120604879,29322,15.66,3,3,10194,1,1,28
"54",0.997756805421,29322,15.8,3,3,10200,1,1,28
"55",0.984566560154,30122,23.98,3,3,10415,1,1,28
"56",1.30198993998,30122,23.98,3,3,10415,1,1,28
"57",NA,30122,23.98,3,3,10415,1,1,28
"58",1,29590,15.84,3,3,10287,1,1,28
"59",Inf,29590,15.84,3,3,10287,1,1,28
"60",Inf,29590,15.84,3,3,10287,1,1,28
"61",0.998197859535,29205,15.79,3,3,10229,1,1,28
"62",Inf,29205,15.79,3,3,10229,1,1,28
"63",1.0149610173,29205,15.79,3,3,10229,1,1,28
"64",0.998197859535,29205,15.79,3,3,10229,1,1,28
"65",1.00530864402,29205,15.79,3,3,10229,1,1,28
"66",Inf,29205,15.79,3,3,10229,1,1,28
"67",Inf,29205,15.79,3,3,10229,1,1,28
"68",Inf,29205,15.79,3,3,10229,1,1,28
"69",Inf,29205,15.79,3,3,10229,1,1,28
"70",0.998197859535,29205,15.79,3,3,10229,1,1,28
"71",Inf,29205,15.79,3,3,10229,1,1,28
"72",0.832470729345,30666,15.85,3,4,10094,1,1,6
"73",0.831674948965,30666,15.69,3,4,10030,1,1,6
"74",NA,30666,15.69,3,4,10030,1,1,6
"75",1,29590,15.84,3,3,10287,1,1,28
"76",Inf,29590,15.84,3,3,10287,1,1,28
"77",1.03004716863,29590,15.84,3,3,10287,1,1,28
"78",Inf,29590,15.84,3,3,10287,1,1,28
"79",Inf,29590,15.84,3,3,10287,1,1,28
"80",Inf,29590,15.84,3,3,10287,1,1,28
"81",1.1974394303,29590,15.84,3,3,10287,1,1,28
"82",Inf,29590,15.84,3,3,10287,1,1,28
"83",1.59458191576,29590,15.84,3,3,10287,1,1,28
"84",Inf,29590,15.84,3,3,10287,1,1,28
"85",0.998120604879,29322,15.66,3,3,10194,1,1,28
"86",0.995703340616,28401,15.96,3,3,10210,1,1,28
"87",1.00745895442,28401,15.96,3,3,10210,1,1,28
"88",NA,28401,15.96,3,3,10210,1,1,28
