"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,5224,164.58,1,3,1126,1,1,3
"2",1,5224,164.58,1,3,1126,1,1,3
"3",Inf,5224,164.58,1,3,1126,1,1,3
"4",Inf,5224,164.58,1,3,1126,1,1,3
"5",Inf,5224,164.58,1,3,1126,1,1,3
"6",1.00098403946,5224,164.58,1,3,1126,1,1,3
"7",Inf,5224,164.58,1,3,1126,1,1,3
"8",1.20530410831,5224,164.58,1,3,1126,1,1,3
"9",Inf,5224,164.58,1,3,1126,1,1,3
"10",Inf,5224,164.58,1,3,1126,1,1,3
"11",Inf,5224,164.58,1,3,1126,1,1,3
"12",Inf,5224,164.58,1,3,1126,1,1,3
"13",1.41585797163,5224,164.58,1,3,1126,1,1,3
"14",Inf,5224,164.58,1,3,1126,1,1,3
"15",Inf,5224,164.58,1,3,1126,1,1,3
"16",1.8371857402,5224,164.58,1,3,1126,1,1,3
"17",Inf,5224,164.58,1,3,1126,1,1,3
"18",Inf,5224,164.58,1,3,1126,1,1,3
"19",Inf,5224,164.58,1,3,1126,1,1,3
"20",Inf,5224,164.58,1,3,1126,1,1,3
"21",1,5224,164.58,1,3,1126,1,1,3
"22",Inf,5224,164.58,1,3,1126,1,1,3
"23",Inf,5224,164.58,1,3,1126,1,1,3
"24",1,5224,164.58,1,3,1126,1,1,3
"25",Inf,5224,164.58,1,3,1126,1,1,3
"26",1.23787207992,5224,164.58,1,3,1126,1,1,3
"27",Inf,5224,164.58,1,3,1126,1,1,3
"28",Inf,5224,164.58,1,3,1126,1,1,3
"29",Inf,5224,164.58,1,3,1126,1,1,3
"30",1.19242992719,5224,164.58,1,3,1126,1,1,3
"31",Inf,5224,164.58,1,3,1126,1,1,3
"32",Inf,5224,164.58,1,3,1126,1,1,3
"33",Inf,5224,164.58,1,3,1126,1,1,3
"34",Inf,5224,164.58,1,3,1126,1,1,3
"35",1,5224,164.58,1,3,1126,1,1,3
"36",NA,5224,164.58,1,3,1126,1,1,3
"37",1,5224,164.58,1,3,1126,1,1,3
"38",1.15320686998,5224,164.58,1,3,1126,1,1,3
"39",Inf,5224,164.58,1,3,1126,1,1,3
"40",1.08766992424,5224,164.58,1,3,1126,1,1,3
"41",Inf,5224,164.58,1,3,1126,1,1,3
"42",Inf,5224,164.58,1,3,1126,1,1,3
"43",0.878612912209,5224,229.62,1,3,966,1,1,2
"44",0.989542683081,5224,229.62,1,3,966,1,1,2
"45",Inf,5224,229.62,1,3,966,1,1,2
"46",1.65337110065,5224,229.62,1,3,966,1,1,2
"47",Inf,5224,229.62,1,3,966,1,1,2
"48",1.39442977313,5224,229.62,1,3,966,1,1,2
"49",Inf,5224,229.62,1,3,966,1,1,2
"50",Inf,5224,229.62,1,3,966,1,1,2
"51",Inf,5224,229.62,1,3,966,1,1,2
"52",0.976363232402,5224,229.62,1,3,966,1,1,2
"53",Inf,5224,229.62,1,3,966,1,1,2
"54",2.25754308108,5224,229.62,1,3,966,1,1,2
"55",1.45978875449,5224,229.62,1,3,966,1,1,2
"56",1.26897557402,5224,229.62,1,3,966,1,1,2
"57",Inf,5224,229.62,1,3,966,1,1,2
"58",Inf,5224,229.62,1,3,966,1,1,2
"59",0.878612912209,5224,229.62,1,3,966,1,1,2
"60",Inf,5224,229.62,1,3,966,1,1,2
"61",1.23487508664,5224,229.62,1,3,966,1,1,2
"62",NA,5224,229.62,1,3,966,1,1,2
"63",1,5224,164.58,1,3,1126,1,1,3
"64",1,5224,164.58,1,3,1126,1,1,3
"65",Inf,5224,164.58,1,3,1126,1,1,3
"66",Inf,5224,164.58,1,3,1126,1,1,3
"67",Inf,5224,164.58,1,3,1126,1,1,3
"68",Inf,5224,164.58,1,3,1126,1,1,3
"69",Inf,5224,164.58,1,3,1126,1,1,3
"70",Inf,5224,164.58,1,3,1126,1,1,3
"71",Inf,5224,164.58,1,3,1126,1,1,3
"72",Inf,5224,164.58,1,3,1126,1,1,3
"73",Inf,5224,164.58,1,3,1126,1,1,3
"74",Inf,5224,164.58,1,3,1126,1,1,3
"75",0.878612912209,5224,229.62,1,3,966,1,1,2
"76",1.83657964482,5224,229.62,1,3,966,1,1,2
"77",0.877999069281,5224,219.93,1,3,954,1,1,2
"78",Inf,5224,219.93,1,3,954,1,1,2
"79",Inf,5224,219.93,1,3,954,1,1,2
"80",Inf,5224,219.93,1,3,954,1,1,2
"81",0.90878423383,5224,219.93,1,3,954,1,1,2
"82",1.43456428587,5224,219.93,1,3,954,1,1,2
"83",Inf,5224,219.93,1,3,954,1,1,2
"84",1.33314840578,5224,219.93,1,3,954,1,1,2
"85",Inf,5224,219.93,1,3,954,1,1,2
"86",Inf,5224,219.93,1,3,954,1,1,2
"87",Inf,5224,219.93,1,3,954,1,1,2
"88",1.42801881224,5224,219.93,1,3,954,1,1,2
"89",0.881894751521,5224,219.93,1,3,954,1,1,2
"90",Inf,5224,219.93,1,3,954,1,1,2
"91",Inf,5224,219.93,1,3,954,1,1,2
"92",Inf,5224,219.93,1,3,954,1,1,2
"93",Inf,5224,219.93,1,3,954,1,1,2
"94",1.00098403946,5224,219.93,1,3,954,1,1,2
"95",NA,5224,219.93,1,3,954,1,1,2
"96",1,5224,164.58,1,3,1126,1,1,3
"97",Inf,5224,164.58,1,3,1126,1,1,3
"98",0.878612912209,5224,229.62,1,3,966,1,1,2
"99",1.38588235465,5224,229.62,1,3,966,1,1,2
"100",1.02625177655,5224,229.62,1,3,966,1,1,2
"101",Inf,5224,229.62,1,3,966,1,1,2
"102",0.878612912209,5224,229.62,1,3,966,1,1,2
"103",1.45978875449,5224,229.62,1,3,966,1,1,2
"104",1.05312137419,5224,229.62,1,3,966,1,1,2
"105",Inf,5224,229.62,1,3,966,1,1,2
"106",0.812889012473,5228,231.64,1,4,963,1,1,1
"107",Inf,5228,231.64,1,4,963,1,1,1
"108",Inf,5228,231.64,1,4,963,1,1,1
"109",Inf,5228,231.64,1,4,963,1,1,1
"110",Inf,5228,231.64,1,4,963,1,1,1
"111",Inf,5228,231.64,1,4,963,1,1,1
"112",Inf,5228,231.64,1,4,963,1,1,1
"113",0.812889012473,5228,231.64,1,4,963,1,1,1
"114",Inf,5228,231.64,1,4,963,1,1,1
"115",0.878612912209,5228,231.64,1,4,963,1,1,1
"116",0.826454510698,5228,231.64,1,4,963,1,1,1
"117",Inf,5228,231.64,1,4,963,1,1,1
"118",1.95272685785,5228,231.64,1,4,963,1,1,1
"119",Inf,5228,231.64,1,4,963,1,1,1
"120",0.812889012473,5228,231.64,1,4,963,1,1,1
"121",NA,5228,231.64,1,4,963,1,1,1
