"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,8277,193.61,3,3,10623,1,1,0
"2",Inf,8277,193.61,3,3,10623,1,1,0
"3",0.997751869522,8277,203.05,3,3,10639,1,1,0
"4",Inf,8277,203.05,3,3,10639,1,1,0
"5",Inf,8277,203.05,3,3,10639,1,1,0
"6",Inf,8277,203.05,3,3,10639,1,1,0
"7",Inf,8277,203.05,3,3,10639,1,1,0
"8",0.994978315078,8277,183.59,3,3,10238,1,1,0
"9",1.18922751733,8277,183.59,3,3,10238,1,1,0
"10",Inf,8277,183.59,3,3,10238,1,1,0
"11",0.878895584622,8267,211.73,2,3,8605,1,1,0
"12",Inf,8267,211.73,2,3,8605,1,1,0
"13",0.877354412473,8267,207.51,2,3,8482,1,1,0
"14",0.874772252575,8267,205.8,2,3,8338,1,1,0
"15",Inf,8267,205.8,2,3,8338,1,1,0
"16",0.874772252575,8267,205.8,2,3,8338,1,1,0
"17",0.877354412473,8267,205.8,2,3,8338,1,1,0
"18",Inf,8267,205.8,2,3,8338,1,1,0
"19",Inf,8267,205.8,2,3,8338,1,1,0
"20",Inf,8267,205.8,2,3,8338,1,1,0
"21",Inf,8267,205.8,2,3,8338,1,1,0
"22",NA,8267,205.8,2,3,8338,1,1,0
"23",1,8277,193.61,3,3,10623,1,1,0
"24",1.00025537829,8277,193.61,3,3,10623,1,1,0
"25",Inf,8277,193.61,3,3,10623,1,1,0
"26",Inf,8277,193.61,3,3,10623,1,1,0
"27",1.16926086439,8277,193.61,3,3,10623,1,1,0
"28",Inf,8277,193.61,3,3,10623,1,1,0
"29",Inf,8277,193.61,3,3,10623,1,1,0
"30",Inf,8277,193.61,3,3,10623,1,1,0
"31",1.01296871428,8277,193.61,3,3,10623,1,1,0
"32",Inf,8277,193.61,3,3,10623,1,1,0
"33",Inf,8277,193.61,3,3,10623,1,1,0
"34",1,8277,193.61,3,3,10623,1,1,0
"35",1.00027334257,8277,193.61,3,3,10623,1,1,0
"36",Inf,8277,193.61,3,3,10623,1,1,0
"37",Inf,8277,193.61,3,3,10623,1,1,0
"38",1.00727513622,8277,193.61,3,3,10623,1,1,0
"39",Inf,8277,193.61,3,3,10623,1,1,0
"40",Inf,8277,193.61,3,3,10623,1,1,0
"41",1,8277,193.61,3,3,10623,1,1,0
"42",Inf,8277,193.61,3,3,10623,1,1,0
"43",Inf,8277,193.61,3,3,10623,1,1,0
"44",Inf,8277,193.61,3,3,10623,1,1,0
"45",Inf,8277,193.61,3,3,10623,1,1,0
"46",NA,8277,193.61,3,3,10623,1,1,0
"47",1,8277,193.61,3,3,10623,1,1,0
"48",1.14916606817,8277,193.61,3,3,10623,1,1,0
"49",Inf,8277,193.61,3,3,10623,1,1,0
"50",Inf,8277,193.61,3,3,10623,1,1,0
"51",Inf,8277,193.61,3,3,10623,1,1,0
"52",Inf,8277,193.61,3,3,10623,1,1,0
"53",Inf,8277,193.61,3,3,10623,1,1,0
"54",Inf,8277,193.61,3,3,10623,1,1,0
"55",Inf,8277,193.61,3,3,10623,1,1,0
"56",Inf,8277,193.61,3,3,10623,1,1,0
"57",Inf,8277,193.61,3,3,10623,1,1,0
"58",Inf,8277,193.61,3,3,10623,1,1,0
"59",Inf,8277,193.61,3,3,10623,1,1,0
"60",1,8277,193.61,3,3,10623,1,1,0
"61",Inf,8277,193.61,3,3,10623,1,1,0
"62",Inf,8277,193.61,3,3,10623,1,1,0
"63",Inf,8277,193.61,3,3,10623,1,1,0
"64",Inf,8277,193.61,3,3,10623,1,1,0
"65",Inf,8277,193.61,3,3,10623,1,1,0
"66",1.00793100475,8277,193.61,3,3,10623,1,1,0
"67",1.48100424921,8277,193.61,3,3,10623,1,1,0
"68",Inf,8277,193.61,3,3,10623,1,1,0
"69",Inf,8277,193.61,3,3,10623,1,1,0
"70",Inf,8277,193.61,3,3,10623,1,1,0
"71",Inf,8277,193.61,3,3,10623,1,1,0
"72",Inf,8277,193.61,3,3,10623,1,1,0
"73",Inf,8277,193.61,3,3,10623,1,1,0
"74",Inf,8277,193.61,3,3,10623,1,1,0
"75",Inf,8277,193.61,3,3,10623,1,1,0
"76",Inf,8277,193.61,3,3,10623,1,1,0
"77",Inf,8277,193.61,3,3,10623,1,1,0
"78",Inf,8277,193.61,3,3,10623,1,1,0
"79",Inf,8277,193.61,3,3,10623,1,1,0
"80",Inf,8277,193.61,3,3,10623,1,1,0
"81",1.36126919703,8277,193.61,3,3,10623,1,1,0
"82",NA,8277,193.61,3,3,10623,1,1,0
"83",1,8277,193.61,3,3,10623,1,1,0
"84",1.00027334257,8277,193.61,3,3,10623,1,1,0
"85",Inf,8277,193.61,3,3,10623,1,1,0
"86",Inf,8277,193.61,3,3,10623,1,1,0
"87",Inf,8277,193.61,3,3,10623,1,1,0
"88",1.00025537829,8277,193.61,3,3,10623,1,1,0
"89",1,8277,193.61,3,3,10623,1,1,0
"90",Inf,8277,193.61,3,3,10623,1,1,0
"91",Inf,8277,193.61,3,3,10623,1,1,0
"92",Inf,8277,193.61,3,3,10623,1,1,0
"93",Inf,8277,193.61,3,3,10623,1,1,0
"94",Inf,8277,193.61,3,3,10623,1,1,0
"95",1.05879342684,8277,193.61,3,3,10623,1,1,0
"96",0.984323879193,6224,202.18,3,3,10617,1,1,0
"97",Inf,6224,202.18,3,3,10617,1,1,0
"98",Inf,6224,202.18,3,3,10617,1,1,0
"99",Inf,6224,202.18,3,3,10617,1,1,0
"100",Inf,6224,202.18,3,3,10617,1,1,0
"101",Inf,6224,202.18,3,3,10617,1,1,0
"102",0.992875259669,6224,202.18,3,3,10617,1,1,0
"103",Inf,6224,202.18,3,3,10617,1,1,0
"104",Inf,6224,202.18,3,3,10617,1,1,0
"105",Inf,6224,202.18,3,3,10617,1,1,0
"106",Inf,6224,202.18,3,3,10617,1,1,0
"107",Inf,6224,202.18,3,3,10617,1,1,0
"108",Inf,6224,202.18,3,3,10617,1,1,0
"109",Inf,6224,202.18,3,3,10617,1,1,0
"110",Inf,6224,202.18,3,3,10617,1,1,0
"111",NA,6224,202.18,3,3,10617,1,1,0
"112",1,8277,193.61,3,3,10623,1,1,0
"113",Inf,8277,193.61,3,3,10623,1,1,0
"114",Inf,8277,193.61,3,3,10623,1,1,0
"115",1.04443310341,8277,193.61,3,3,10623,1,1,0
"116",Inf,8277,193.61,3,3,10623,1,1,0
"117",Inf,8277,193.61,3,3,10623,1,1,0
"118",Inf,8277,193.61,3,3,10623,1,1,0
"119",Inf,8277,193.61,3,3,10623,1,1,0
"120",1.00294433243,8277,193.61,3,3,10623,1,1,0
"121",Inf,8277,193.61,3,3,10623,1,1,0
"122",Inf,8277,193.61,3,3,10623,1,1,0
"123",1,8277,193.61,3,3,10623,1,1,0
"124",Inf,8277,193.61,3,3,10623,1,1,0
"125",Inf,8277,193.61,3,3,10623,1,1,0
"126",Inf,8277,193.61,3,3,10623,1,1,0
"127",Inf,8277,193.61,3,3,10623,1,1,0
"128",Inf,8277,193.61,3,3,10623,1,1,0
"129",0.998488246606,8272,211.95,3,3,10782,1,1,0
"130",Inf,8272,211.95,3,3,10782,1,1,0
"131",0.998488246606,8272,211.95,3,3,10782,1,1,0
"132",1.19340702603,8272,211.95,3,3,10782,1,1,0
"133",1.00690236907,8272,211.95,3,3,10782,1,1,0
"134",Inf,8272,211.95,3,3,10782,1,1,0
"135",Inf,8272,211.95,3,3,10782,1,1,0
"136",NA,8272,211.95,3,3,10782,1,1,0
"137",1,8277,193.61,3,3,10623,1,1,0
"138",Inf,8277,193.61,3,3,10623,1,1,0
"139",Inf,8277,193.61,3,3,10623,1,1,0
"140",Inf,8277,193.61,3,3,10623,1,1,0
"141",1,8277,193.61,3,3,10623,1,1,0
"142",Inf,8277,193.61,3,3,10623,1,1,0
"143",1,8277,193.61,3,3,10623,1,1,0
"144",Inf,8277,193.61,3,3,10623,1,1,0
"145",Inf,8277,193.61,3,3,10623,1,1,0
"146",Inf,8277,193.61,3,3,10623,1,1,0
"147",Inf,8277,193.61,3,3,10623,1,1,0
"148",1.42123171686,8277,193.61,3,3,10623,1,1,0
"149",Inf,8277,193.61,3,3,10623,1,1,0
"150",0.983968148744,6219,208.9,3,3,10663,1,1,0
"151",Inf,6219,208.9,3,3,10663,1,1,0
"152",0.983968148744,6219,208.9,3,3,10663,1,1,0
"153",0.983572775871,6219,219.2,3,3,10731,1,1,0
"154",0.983572775871,6219,219.2,3,3,10731,1,1,0
"155",1.4244091894,6219,219.2,3,3,10731,1,1,0
"156",NA,6219,219.2,3,3,10731,1,1,0
