"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,290866,363.24,1,3,3739,1,1,0
"2",1,290866,363.24,1,3,3739,1,1,0
"3",Inf,290866,363.24,1,3,3739,1,1,0
"4",Inf,290866,363.24,1,3,3739,1,1,0
"5",Inf,290866,363.24,1,3,3739,1,1,0
"6",Inf,290866,363.24,1,3,3739,1,1,0
"7",1,290866,363.24,1,3,3739,1,1,0
"8",Inf,290866,363.24,1,3,3739,1,1,0
"9",Inf,290866,363.24,1,3,3739,1,1,0
"10",Inf,290866,363.24,1,3,3739,1,1,0
"11",1,290866,363.24,1,3,3739,1,1,0
"12",Inf,290866,363.24,1,3,3739,1,1,0
"13",Inf,290866,363.24,1,3,3739,1,1,0
"14",0.975673335668,311414,419.46,1,4,3242,1,1,0
"15",Inf,311414,419.46,1,4,3242,1,1,0
"16",0.948353530817,249765,296.91,1,4,2667,1,1,0
"17",Inf,249765,296.91,1,4,2667,1,1,0
"18",Inf,249765,296.91,1,4,2667,1,1,0
"19",Inf,249765,296.91,1,4,2667,1,1,0
"20",Inf,249765,296.91,1,4,2667,1,1,0
"21",Inf,249765,296.91,1,4,2667,1,1,0
"22",Inf,249765,296.91,1,4,2667,1,1,0
"23",Inf,249765,296.91,1,4,2667,1,1,0
"24",1.03908252761,249765,296.91,1,4,2667,1,1,0
"25",Inf,249765,296.91,1,4,2667,1,1,0
"26",Inf,249765,296.91,1,4,2667,1,1,0
"27",1.16058715508,249765,296.91,1,4,2667,1,1,0
"28",NA,249765,296.91,1,4,2667,1,1,0
"29",1,290866,363.24,1,3,3739,1,1,0
"30",Inf,290866,363.24,1,3,3739,1,1,0
"31",Inf,290866,363.24,1,3,3739,1,1,0
"32",Inf,290866,363.24,1,3,3739,1,1,0
"33",Inf,290866,363.24,1,3,3739,1,1,0
"34",Inf,290866,363.24,1,3,3739,1,1,0
"35",Inf,290866,363.24,1,3,3739,1,1,0
"36",0.946082520043,173480,382.41,1,3,3237,1,1,0
"37",Inf,173480,382.41,1,3,3237,1,1,0
"38",Inf,173480,382.41,1,3,3237,1,1,0
"39",0.946082520043,173480,382.41,1,3,3237,1,1,0
"40",Inf,173480,382.41,1,3,3237,1,1,0
"41",Inf,173480,382.41,1,3,3237,1,1,0
"42",Inf,173480,382.41,1,3,3237,1,1,0
"43",0.946082520043,173480,382.41,1,3,3237,1,1,0
"44",Inf,173480,382.41,1,3,3237,1,1,0
"45",Inf,173480,382.41,1,3,3237,1,1,0
"46",Inf,173480,382.41,1,3,3237,1,1,0
"47",Inf,173480,382.41,1,3,3237,1,1,0
"48",0.965140568341,173480,382.41,1,3,3237,1,1,0
"49",Inf,173480,382.41,1,3,3237,1,1,0
"50",Inf,173480,382.41,1,3,3237,1,1,0
"51",Inf,173480,382.41,1,3,3237,1,1,0
"52",0.946082520043,173480,382.41,1,3,3237,1,1,0
"53",0.946082520043,173480,382.41,1,3,3237,1,1,0
"54",Inf,173480,382.41,1,3,3237,1,1,0
"55",0.938797603061,213799,336.36,1,3,2902,1,1,0
"56",Inf,213799,336.36,1,3,2902,1,1,0
"57",0.987442922023,213799,336.36,1,3,2902,1,1,0
"58",Inf,213799,336.36,1,3,2902,1,1,0
"59",Inf,213799,336.36,1,3,2902,1,1,0
"60",Inf,213799,336.36,1,3,2902,1,1,0
"61",Inf,213799,336.36,1,3,2902,1,1,0
"62",Inf,213799,336.36,1,3,2902,1,1,0
"63",Inf,213799,336.36,1,3,2902,1,1,0
"64",0.948566020621,213799,336.36,1,3,2902,1,1,0
"65",NA,213799,336.36,1,3,2902,1,1,0
"66",1,290866,363.24,1,3,3739,1,1,0
"67",Inf,290866,363.24,1,3,3739,1,1,0
"68",Inf,290866,363.24,1,3,3739,1,1,0
"69",Inf,290866,363.24,1,3,3739,1,1,0
"70",1.58332523378,290866,363.24,1,3,3739,1,1,0
"71",1,290866,363.24,1,3,3739,1,1,0
"72",1,290866,363.24,1,3,3739,1,1,0
"73",Inf,290866,363.24,1,3,3739,1,1,0
"74",Inf,290866,363.24,1,3,3739,1,1,0
"75",Inf,290866,363.24,1,3,3739,1,1,0
"76",1.42760005949,290866,363.24,1,3,3739,1,1,0
"77",Inf,290866,363.24,1,3,3739,1,1,0
"78",Inf,290866,363.24,1,3,3739,1,1,0
"79",Inf,290866,363.24,1,3,3739,1,1,0
"80",Inf,290866,363.24,1,3,3739,1,1,0
"81",1.00270060684,290866,363.24,1,3,3739,1,1,0
"82",1,290866,363.24,1,3,3739,1,1,0
"83",0.957517472508,235116,401.28,1,3,3275,1,1,0
"84",Inf,235116,401.28,1,3,3275,1,1,0
"85",Inf,235116,401.28,1,3,3275,1,1,0
"86",Inf,235116,401.28,1,3,3275,1,1,0
"87",Inf,235116,401.28,1,3,3275,1,1,0
"88",Inf,235116,401.28,1,3,3275,1,1,0
"89",Inf,235116,401.28,1,3,3275,1,1,0
"90",Inf,235116,401.28,1,3,3275,1,1,0
"91",0.964600582481,235116,401.28,1,3,3275,1,1,0
"92",NA,235116,401.28,1,3,3275,1,1,0
"93",1,290866,363.24,1,3,3739,1,1,0
"94",Inf,290866,363.24,1,3,3739,1,1,0
"95",0.973033100201,270048,268.74,1,3,3047,1,1,0
"96",Inf,270048,268.74,1,3,3047,1,1,0
"97",Inf,270048,268.74,1,3,3047,1,1,0
"98",0.973033100201,270048,268.74,1,3,3047,1,1,0
"99",0.973033100201,270048,268.74,1,3,3047,1,1,0
"100",1.51919623946,270048,268.74,1,3,3047,1,1,0
"101",0.973033100201,270048,268.74,1,3,3047,1,1,0
"102",0.956256416904,270048,290.61,1,3,2853,1,1,0
"103",0.952908571955,290592,288.35,1,3,2705,1,1,0
"104",Inf,290592,288.35,1,3,2705,1,1,0
"105",Inf,290592,288.35,1,3,2705,1,1,0
"106",0.966302046582,290592,288.35,1,3,2705,1,1,0
"107",0.972863072975,290592,288.35,1,3,2705,1,1,0
"108",Inf,290592,288.35,1,3,2705,1,1,0
"109",NA,290592,288.35,1,3,2705,1,1,0
"110",1,290866,363.24,1,3,3739,1,1,0
"111",0.984869085855,291385,357.53,1,4,3312,1,1,0
"112",Inf,291385,357.53,1,4,3312,1,1,0
"113",1.03940813405,291385,357.53,1,4,3312,1,1,0
"114",Inf,291385,357.53,1,4,3312,1,1,0
"115",Inf,291385,357.53,1,4,3312,1,1,0
"116",0.984612176447,229736,392.62,1,4,3576,1,1,0
"117",Inf,229736,392.62,1,4,3576,1,1,0
"118",Inf,229736,392.62,1,4,3576,1,1,0
"119",1.20404043783,229736,392.62,1,4,3576,1,1,0
"120",Inf,229736,392.62,1,4,3576,1,1,0
"121",Inf,229736,392.62,1,4,3576,1,1,0
"122",Inf,229736,392.62,1,4,3576,1,1,0
"123",Inf,229736,392.62,1,4,3576,1,1,0
"124",Inf,229736,392.62,1,4,3576,1,1,0
"125",1.04304839338,229736,392.62,1,4,3576,1,1,0
"126",0.984612176447,229736,392.62,1,4,3576,1,1,0
"127",Inf,229736,392.62,1,4,3576,1,1,0
"128",Inf,229736,392.62,1,4,3576,1,1,0
"129",Inf,229736,392.62,1,4,3576,1,1,0
"130",Inf,229736,392.62,1,4,3576,1,1,0
"131",0.980963954659,229732,365.63,1,3,3620,1,1,0
"132",NA,229732,365.63,1,3,3620,1,1,0
"133",1,290866,363.24,1,3,3739,1,1,0
"134",2.00976788221,290866,363.24,1,3,3739,1,1,0
"135",Inf,290866,363.24,1,3,3739,1,1,0
"136",1.16666993792,290866,363.24,1,3,3739,1,1,0
"137",1,290866,363.24,1,3,3739,1,1,0
"138",Inf,290866,363.24,1,3,3739,1,1,0
"139",1.07684551,290866,363.24,1,3,3739,1,1,0
"140",1.00270060684,290866,363.24,1,3,3739,1,1,0
"141",Inf,290866,363.24,1,3,3739,1,1,0
"142",1.12105868696,290866,363.24,1,3,3739,1,1,0
"143",Inf,290866,363.24,1,3,3739,1,1,0
"144",Inf,290866,363.24,1,3,3739,1,1,0
"145",1,290866,363.24,1,3,3739,1,1,0
"146",Inf,290866,363.24,1,3,3739,1,1,0
"147",0.980963954659,229732,365.63,1,3,3620,1,1,0
"148",Inf,229732,365.63,1,3,3620,1,1,0
"149",0.98472272945,229732,365.63,1,3,3620,1,1,0
"150",1.20404043783,229732,365.63,1,3,3620,1,1,0
"151",Inf,229732,365.63,1,3,3620,1,1,0
"152",Inf,229732,365.63,1,3,3620,1,1,0
"153",Inf,229732,365.63,1,3,3620,1,1,0
"154",Inf,229732,365.63,1,3,3620,1,1,0
"155",Inf,229732,365.63,1,3,3620,1,1,0
"156",1.18623732524,229732,365.63,1,3,3620,1,1,0
"157",NA,229732,365.63,1,3,3620,1,1,0
