"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,4771,33.45,2,3,6579,1,1,0
"2",Inf,4771,33.45,2,3,6579,1,1,0
"3",Inf,4771,33.45,2,3,6579,1,1,0
"4",1.00103322221,4771,33.45,2,3,6579,1,1,0
"5",1.0076381117,4771,33.45,2,3,6579,1,1,0
"6",1.02809431492,4771,33.45,2,3,6579,1,1,0
"7",Inf,4771,33.45,2,3,6579,1,1,0
"8",Inf,4771,33.45,2,3,6579,1,1,0
"9",Inf,4771,33.45,2,3,6579,1,1,0
"10",1.03146875962,4771,33.45,2,3,6579,1,1,0
"11",1.06297528659,4771,33.45,2,3,6579,1,1,0
"12",Inf,4771,33.45,2,3,6579,1,1,0
"13",Inf,4771,33.45,2,3,6579,1,1,0
"14",Inf,4771,33.45,2,3,6579,1,1,0
"15",Inf,4771,33.45,2,3,6579,1,1,0
"16",Inf,4771,33.45,2,3,6579,1,1,0
"17",Inf,4771,33.45,2,3,6579,1,1,0
"18",Inf,4771,33.45,2,3,6579,1,1,0
"19",Inf,4771,33.45,2,3,6579,1,1,0
"20",1.17301216605,4771,33.45,2,3,6579,1,1,0
"21",Inf,4771,33.45,2,3,6579,1,1,0
"22",Inf,4771,33.45,2,3,6579,1,1,0
"23",Inf,4771,33.45,2,3,6579,1,1,0
"24",Inf,4771,33.45,2,3,6579,1,1,0
"25",Inf,4771,33.45,2,3,6579,1,1,0
"26",Inf,4771,33.45,2,3,6579,1,1,0
"27",Inf,4771,33.45,2,3,6579,1,1,0
"28",1.11616061258,4771,33.45,2,3,6579,1,1,0
"29",NA,4771,33.45,2,3,6579,1,1,0
"30",1,4771,33.45,2,3,6579,1,1,0
"31",1,4771,33.45,2,3,6579,1,1,0
"32",Inf,4771,33.45,2,3,6579,1,1,0
"33",Inf,4771,33.45,2,3,6579,1,1,0
"34",Inf,4771,33.45,2,3,6579,1,1,0
"35",Inf,4771,33.45,2,3,6579,1,1,0
"36",Inf,4771,33.45,2,3,6579,1,1,0
"37",1.01104268933,4771,33.45,2,3,6579,1,1,0
"38",Inf,4771,33.45,2,3,6579,1,1,0
"39",Inf,4771,33.45,2,3,6579,1,1,0
"40",Inf,4771,33.45,2,3,6579,1,1,0
"41",1.63425558861,4771,33.45,2,3,6579,1,1,0
"42",Inf,4771,33.45,2,3,6579,1,1,0
"43",Inf,4771,33.45,2,3,6579,1,1,0
"44",Inf,4771,33.45,2,3,6579,1,1,0
"45",Inf,4771,33.45,2,3,6579,1,1,0
"46",Inf,4771,33.45,2,3,6579,1,1,0
"47",1.00801746956,4771,33.45,2,3,6579,1,1,0
"48",Inf,4771,33.45,2,3,6579,1,1,0
"49",Inf,4771,33.45,2,3,6579,1,1,0
"50",Inf,4771,33.45,2,3,6579,1,1,0
"51",Inf,4771,33.45,2,3,6579,1,1,0
"52",1.11773688448,4771,33.45,2,3,6579,1,1,0
"53",Inf,4771,33.45,2,3,6579,1,1,0
"54",Inf,4771,33.45,2,3,6579,1,1,0
"55",1.04376771947,4771,33.45,2,3,6579,1,1,0
"56",Inf,4771,33.45,2,3,6579,1,1,0
"57",1.01218160497,4771,33.45,2,3,6579,1,1,0
"58",NA,4771,33.45,2,3,6579,1,1,0
"59",1,4771,33.45,2,3,6579,1,1,0
"60",Inf,4771,33.45,2,3,6579,1,1,0
"61",Inf,4771,33.45,2,3,6579,1,1,0
"62",Inf,4771,33.45,2,3,6579,1,1,0
"63",1.05084704461,4771,33.45,2,3,6579,1,1,0
"64",Inf,4771,33.45,2,3,6579,1,1,0
"65",Inf,4771,33.45,2,3,6579,1,1,0
"66",1,4771,33.45,2,3,6579,1,1,0
"67",Inf,4771,33.45,2,3,6579,1,1,0
"68",Inf,4771,33.45,2,3,6579,1,1,0
"69",Inf,4771,33.45,2,3,6579,1,1,0
"70",0.993947923036,4891,38.21,2,3,6975,1,1,0
"71",1.028355967,4891,38.21,2,3,6975,1,1,0
"72",0.993947923036,4891,38.21,2,3,6975,1,1,0
"73",0.993947923036,4891,38.21,2,3,6975,1,1,0
"74",1.01558550058,4891,38.21,2,3,6975,1,1,0
"75",1.03454314361,4891,38.21,2,3,6975,1,1,0
"76",0.996274741954,4891,38.21,2,3,6975,1,1,0
"77",Inf,4891,38.21,2,3,6975,1,1,0
"78",1.12681956446,4891,38.21,2,3,6975,1,1,0
"79",NA,4891,38.21,2,3,6975,1,1,0
"80",1,4771,33.45,2,3,6579,1,1,0
"81",Inf,4771,33.45,2,3,6579,1,1,0
"82",0.892217603347,4775,50.74,1,4,4950,1,1,0
"83",Inf,4775,50.74,1,4,4950,1,1,0
"84",Inf,4775,50.74,1,4,4950,1,1,0
"85",Inf,4775,50.74,1,4,4950,1,1,0
"86",Inf,4775,50.74,1,4,4950,1,1,0
"87",0.892682605668,4775,50.74,1,4,4950,1,1,0
"88",1.03435698804,4775,50.74,1,4,4950,1,1,0
"89",Inf,4775,50.74,1,4,4950,1,1,0
"90",Inf,4775,50.74,1,4,4950,1,1,0
"91",Inf,4775,50.74,1,4,4950,1,1,0
"92",Inf,4775,50.74,1,4,4950,1,1,0
"93",0.877019083563,4513,50.09,1,4,4435,1,1,0
"94",Inf,4513,50.09,1,4,4435,1,1,0
"95",Inf,4513,50.09,1,4,4435,1,1,0
"96",Inf,4513,50.09,1,4,4435,1,1,0
"97",0.972647695122,4513,50.09,1,4,4435,1,1,0
"98",Inf,4513,50.09,1,4,4435,1,1,0
"99",0.886062342447,4513,50.09,1,4,4435,1,1,0
"100",0.814622998328,4601,62.34,1,3,4506,1,1,0
"101",1.32597428967,4601,62.34,1,3,4506,1,1,0
"102",Inf,4601,62.34,1,3,4506,1,1,0
"103",1.07878361496,4601,62.34,1,3,4506,1,1,0
"104",NA,4601,62.34,1,3,4506,1,1,0
"105",1,4771,33.45,2,3,6579,1,1,0
"106",Inf,4771,33.45,2,3,6579,1,1,0
"107",Inf,4771,33.45,2,3,6579,1,1,0
"108",1.00196635235,4771,33.45,2,3,6579,1,1,0
"109",Inf,4771,33.45,2,3,6579,1,1,0
"110",Inf,4771,33.45,2,3,6579,1,1,0
"111",Inf,4771,33.45,2,3,6579,1,1,0
"112",1,4771,33.45,2,3,6579,1,1,0
"113",Inf,4771,33.45,2,3,6579,1,1,0
"114",Inf,4771,33.45,2,3,6579,1,1,0
"115",Inf,4771,33.45,2,3,6579,1,1,0
"116",Inf,4771,33.45,2,3,6579,1,1,0
"117",1,4771,33.45,2,3,6579,1,1,0
"118",Inf,4771,33.45,2,3,6579,1,1,0
"119",Inf,4771,33.45,2,3,6579,1,1,0
"120",1.31371742317,4771,33.45,2,3,6579,1,1,0
"121",Inf,4771,33.45,2,3,6579,1,1,0
"122",1.02883618971,4771,33.45,2,3,6579,1,1,0
"123",Inf,4771,33.45,2,3,6579,1,1,0
"124",Inf,4771,33.45,2,3,6579,1,1,0
"125",0.993947923036,4891,38.21,2,3,6975,1,1,0
"126",0.993947923036,4891,38.21,2,3,6975,1,1,0
"127",0.994010594233,4891,38.21,2,3,6975,1,1,0
"128",0.993947923036,4891,38.21,2,3,6975,1,1,0
"129",NA,4891,38.21,2,3,6975,1,1,0
"130",1,4771,33.45,2,3,6579,1,1,0
"131",Inf,4771,33.45,2,3,6579,1,1,0
"132",1.24474267873,4771,33.45,2,3,6579,1,1,0
"133",Inf,4771,33.45,2,3,6579,1,1,0
"134",Inf,4771,33.45,2,3,6579,1,1,0
"135",0.97562731657,4449,39.82,2,3,6882,1,1,0
"136",Inf,4449,39.82,2,3,6882,1,1,0
"137",Inf,4449,39.82,2,3,6882,1,1,0
"138",0.92411421193,4815,98.35,2,3,7405,1,1,0
"139",Inf,4815,98.35,2,3,7405,1,1,0
"140",Inf,4815,98.35,2,3,7405,1,1,0
"141",Inf,4815,98.35,2,3,7405,1,1,0
"142",Inf,4815,98.35,2,3,7405,1,1,0
"143",0.921791685518,4825,99.3,2,3,7315,1,1,0
"144",0.931965479912,4825,99.3,2,3,7315,1,1,0
"145",Inf,4825,99.3,2,3,7315,1,1,0
"146",Inf,4825,99.3,2,3,7315,1,1,0
"147",1.00421047996,4825,99.3,2,3,7315,1,1,0
"148",Inf,4825,99.3,2,3,7315,1,1,0
"149",Inf,4825,99.3,2,3,7315,1,1,0
"150",0.911965720854,5279,99.56,2,3,6658,1,1,0
"151",Inf,5279,99.56,2,3,6658,1,1,0
"152",Inf,5279,99.56,2,3,6658,1,1,0
"153",0.900933658236,5104,99.14,2,3,6221,1,1,0
"154",NA,5104,99.14,2,3,6221,1,1,0
"155",1,4771,33.45,2,3,6579,1,1,0
"156",Inf,4771,33.45,2,3,6579,1,1,0
"157",Inf,4771,33.45,2,3,6579,1,1,0
"158",1.0076381117,4771,33.45,2,3,6579,1,1,0
"159",Inf,4771,33.45,2,3,6579,1,1,0
"160",Inf,4771,33.45,2,3,6579,1,1,0
"161",Inf,4771,33.45,2,3,6579,1,1,0
"162",0.992264471042,4927,38.56,2,3,6908,1,1,0
"163",1.04922958836,4927,38.56,2,3,6908,1,1,0
"164",0.992264471042,4927,38.56,2,3,6908,1,1,0
"165",0.994370477634,4927,38.56,2,3,6908,1,1,0
"166",0.994974288721,4927,38.56,2,3,6908,1,1,0
"167",Inf,4927,38.56,2,3,6908,1,1,0
"168",Inf,4927,38.56,2,3,6908,1,1,0
"169",0.99444704296,4927,38.56,2,3,6908,1,1,0
"170",0.981162949597,4453,39.12,2,3,7040,1,1,0
"171",0.998860549504,4453,39.12,2,3,7040,1,1,0
"172",0.950743612471,4741,59.92,2,3,7240,1,1,0
"173",NA,4741,59.92,2,3,7240,1,1,0
"174",1,4771,33.45,2,3,6579,1,1,0
"175",0.845052958743,4911,52.15,1,3,4968,1,1,0
"176",Inf,4911,52.15,1,3,4968,1,1,0
"177",Inf,4911,52.15,1,3,4968,1,1,0
"178",Inf,4911,52.15,1,3,4968,1,1,0
"179",0.865572139362,4911,52.15,1,3,4968,1,1,0
"180",0.845052958743,4911,52.15,1,3,4968,1,1,0
"181",0.845052958743,4911,52.15,1,3,4968,1,1,0
"182",0.84381336798,4771,51.41,1,3,4974,1,1,0
"183",0.84381336798,4771,51.41,1,3,4974,1,1,0
"184",0.843900261734,4771,51.41,1,3,4974,1,1,0
"185",0.84381336798,4771,51.41,1,3,4974,1,1,0
"186",0.84381336798,4771,51.41,1,3,4974,1,1,0
"187",0.83050448883,4831,62.74,1,3,5090,1,1,0
"188",Inf,4831,62.74,1,3,5090,1,1,0
"189",0.826374769444,4687,62.24,1,3,4978,1,1,0
"190",1.03981549945,4687,62.24,1,3,4978,1,1,0
"191",NA,4687,62.24,1,3,4978,1,1,0
"192",1,4771,33.45,2,3,6579,1,1,0
"193",1.32283300093,4771,33.45,2,3,6579,1,1,0
"194",Inf,4771,33.45,2,3,6579,1,1,0
"195",0.989773080157,4842,38.25,2,3,6848,1,1,0
