"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,769,323.62,1,3,2264,1,1,0
"2",1,769,323.62,1,3,2264,1,1,0
"3",1.18627539783,769,323.62,1,3,2264,1,1,0
"4",1.06667681544,769,323.62,1,3,2264,1,1,0
"5",1.39013657176,769,323.62,1,3,2264,1,1,0
"6",0.994585528865,773,341.41,1,3,2285,1,1,0
"7",1.01949309664,773,341.41,1,3,2285,1,1,0
"8",1.26538072922,773,341.41,1,3,2285,1,1,0
"9",1.19260838477,773,341.41,1,3,2285,1,1,0
"10",1.00384015902,773,341.41,1,3,2285,1,1,0
"11",1.00384015902,773,341.41,1,3,2285,1,1,0
"12",1.06871027757,773,341.41,1,3,2285,1,1,0
"13",1.36339051692,773,341.41,1,3,2285,1,1,0
"14",1.42962835518,773,341.41,1,3,2285,1,1,0
"15",1.04380162247,773,341.41,1,3,2285,1,1,0
"16",NA,773,341.41,1,3,2285,1,1,0
"17",1,769,323.62,1,3,2264,1,1,0
"18",1.11728212546,769,323.62,1,3,2264,1,1,0
"19",1.31037274933,769,323.62,1,3,2264,1,1,0
"20",1.21617907945,769,323.62,1,3,2264,1,1,0
"21",1.04421314719,769,323.62,1,3,2264,1,1,0
"22",1.24885163229,769,323.62,1,3,2264,1,1,0
"23",Inf,769,323.62,1,3,2264,1,1,0
"24",1.60005293509,769,323.62,1,3,2264,1,1,0
"25",1.30208148228,769,323.62,1,3,2264,1,1,0
"26",1.28935984493,769,323.62,1,3,2264,1,1,0
"27",Inf,769,323.62,1,3,2264,1,1,0
"28",1,769,323.62,1,3,2264,1,1,0
"29",1.20596395443,769,323.62,1,3,2264,1,1,0
"30",Inf,769,323.62,1,3,2264,1,1,0
"31",1.64133766395,769,323.62,1,3,2264,1,1,0
"32",1.47666290044,769,323.62,1,3,2264,1,1,0
"33",1,769,323.62,1,3,2264,1,1,0
"34",NA,769,323.62,1,3,2264,1,1,0
"35",1,769,323.62,1,3,2264,1,1,0
"36",Inf,769,323.62,1,3,2264,1,1,0
"37",1.36633108778,769,323.62,1,3,2264,1,1,0
"38",1,769,323.62,1,3,2264,1,1,0
"39",1.50034483629,769,323.62,1,3,2264,1,1,0
