"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,486,15.7,1,3,3949,1,1,16
"2",1,486,15.7,1,3,3949,1,1,16
"3",Inf,486,15.7,1,3,3949,1,1,16
"4",Inf,486,15.7,1,3,3949,1,1,16
"5",1.11650602992,486,15.7,1,3,3949,1,1,16
"6",Inf,486,15.7,1,3,3949,1,1,16
"7",1.86015860064,486,15.7,1,3,3949,1,1,16
"8",0.990763464788,458,15.9,1,3,3968,1,1,16
"9",0.990763464788,458,15.9,1,3,3968,1,1,16
"10",0.937085146879,554,38,1,3,4299,1,1,16
"11",Inf,554,38,1,3,4299,1,1,16
"12",0.932762262618,602,49.44,1,3,4486,1,1,16
"13",0.932762262618,602,49.44,1,3,4486,1,1,16
"14",0.838525020656,794,59.89,1,3,4458,1,1,5
"15",NA,794,59.89,1,3,4458,1,1,5
"16",1,486,15.7,1,3,3949,1,1,16
"17",Inf,486,15.7,1,3,3949,1,1,16
"18",1,486,15.7,1,3,3949,1,1,16
"19",Inf,486,15.7,1,3,3949,1,1,16
"20",Inf,486,15.7,1,3,3949,1,1,16
"21",1.45603830804,486,15.7,1,3,3949,1,1,16
"22",Inf,486,15.7,1,3,3949,1,1,16
"23",1.46595287565,486,15.7,1,3,3949,1,1,16
"24",Inf,486,15.7,1,3,3949,1,1,16
"25",0.912571025638,492,16.1,1,4,3475,1,1,3
"26",Inf,492,16.1,1,4,3475,1,1,3
"27",Inf,492,16.1,1,4,3475,1,1,3
"28",Inf,492,16.1,1,4,3475,1,1,3
"29",0.98998100842,492,16.1,1,4,3475,1,1,3
"30",Inf,492,16.1,1,4,3475,1,1,3
"31",1.00984982013,492,16.1,1,4,3475,1,1,3
"32",1.39673875239,492,16.1,1,4,3475,1,1,3
"33",Inf,492,16.1,1,4,3475,1,1,3
"34",1.38407274081,492,16.1,1,4,3475,1,1,3
"35",Inf,492,16.1,1,4,3475,1,1,3
"36",1.14622693385,492,16.1,1,4,3475,1,1,3
"37",NA,492,16.1,1,4,3475,1,1,3
"38",1,486,15.7,1,3,3949,1,1,16
"39",1.27963985376,486,15.7,1,3,3949,1,1,16
"40",Inf,486,15.7,1,3,3949,1,1,16
"41",Inf,486,15.7,1,3,3949,1,1,16
"42",Inf,486,15.7,1,3,3949,1,1,16
"43",1,486,15.7,1,3,3949,1,1,16
"44",Inf,486,15.7,1,3,3949,1,1,16
"45",1,486,15.7,1,3,3949,1,1,16
"46",Inf,486,15.7,1,3,3949,1,1,16
"47",0.953327511501,414,15.88,1,3,3282,1,1,16
"48",0.954764721235,414,15.88,1,3,3282,1,1,16
"49",0.940335548847,416,15.9,1,3,2911,1,1,16
"50",0.964028832285,416,15.9,1,3,2911,1,1,16
"51",0.940335548847,416,15.9,1,3,2911,1,1,16
"52",Inf,416,15.9,1,3,2911,1,1,16
"53",Inf,416,15.9,1,3,2911,1,1,16
"54",0.947286058063,416,15.9,1,3,2911,1,1,16
"55",0.828383273196,456,19.43,1,3,2875,1,1,5
"56",Inf,456,19.43,1,3,2875,1,1,5
"57",Inf,456,19.43,1,3,2875,1,1,5
"58",NA,456,19.43,1,3,2875,1,1,5
"59",1,486,15.7,1,3,3949,1,1,16
"60",0.914890871607,478,29.77,1,3,3497,1,1,16
"61",1.54103226326,478,29.77,1,3,3497,1,1,16
"62",Inf,478,29.77,1,3,3497,1,1,16
"63",Inf,478,29.77,1,3,3497,1,1,16
"64",Inf,478,29.77,1,3,3497,1,1,16
"65",Inf,478,29.77,1,3,3497,1,1,16
"66",0.916502676396,478,29.77,1,3,3497,1,1,16
"67",Inf,478,29.77,1,3,3497,1,1,16
"68",0.898208950776,436,30.16,1,3,3240,1,1,16
"69",0.888683111669,368,24.92,1,3,2937,1,1,16
"70",0.883912460277,512,54.07,1,3,3481,1,1,16
"71",0.87609154698,492,56,1,3,3352,1,1,16
"72",0.874989632474,472,55.53,1,3,3358,1,1,16
"73",1.24521226592,472,55.53,1,3,3358,1,1,16
"74",0.914566890808,472,55.53,1,3,3358,1,1,16
"75",0.911398479736,472,55.53,1,3,3358,1,1,16
"76",NA,472,55.53,1,3,3358,1,1,16
"77",1,486,15.7,1,3,3949,1,1,16
"78",0.685220670835,1000,53.21,1,3,7412,0,0,5
"79",1.25188896283,1000,53.21,1,3,7412,0,0,5
"80",Inf,1000,53.21,1,3,7412,0,0,5
"81",Inf,1000,53.21,1,3,7412,0,0,5
"82",Inf,1000,53.21,1,3,7412,0,0,5
"83",0.942904274395,1000,53.21,1,3,7412,0,0,5
"84",Inf,1000,53.21,1,3,7412,0,0,5
"85",1.41253634802,1000,53.21,1,3,7412,0,0,5
"86",0.682470968336,1024,59.07,1,3,7522,0,0,5
"87",0.680237078531,1024,59.01,1,3,7458,0,0,5
"88",0.663917201401,848,58.08,1,3,7358,0,0,5
"89",0.663917201401,848,58.08,1,3,7358,0,0,5
"90",0.958171261698,848,58.08,1,3,7358,0,0,5
"91",0.714791644901,848,58.08,1,3,7358,0,0,5
"92",NA,848,58.08,1,3,7358,0,0,5
"93",1,486,15.7,1,3,3949,1,1,16
"94",Inf,486,15.7,1,3,3949,1,1,16
"95",1.53175940512,486,15.7,1,3,3949,1,1,16
"96",Inf,486,15.7,1,3,3949,1,1,16
"97",Inf,486,15.7,1,3,3949,1,1,16
"98",1,486,15.7,1,3,3949,1,1,16
"99",0.957216372153,568,28.29,1,3,4154,1,1,16
"100",Inf,568,28.29,1,3,4154,1,1,16
"101",0.959704585206,568,28.29,1,3,4154,1,1,16
"102",Inf,568,28.29,1,3,4154,1,1,16
"103",1.3149334938,568,28.29,1,3,4154,1,1,16
"104",Inf,568,28.29,1,3,4154,1,1,16
"105",0.92632681561,776,57.34,1,3,4135,1,1,16
"106",0.870407097703,850,59.56,1,3,5210,1,1,5
"107",Inf,850,59.56,1,3,5210,1,1,5
"108",1.84219303775,850,59.56,1,3,5210,1,1,5
"109",Inf,850,59.56,1,3,5210,1,1,5
"110",Inf,850,59.56,1,3,5210,1,1,5
"111",0.889544496064,850,59.56,1,3,5210,1,1,5
"112",Inf,850,59.56,1,3,5210,1,1,5
"113",1.38636237069,850,59.56,1,3,5210,1,1,5
"114",NA,850,59.56,1,3,5210,1,1,5
"115",1,486,15.7,1,3,3949,1,1,16
"116",0.917340781628,470,16.23,1,4,3811,1,1,3
"117",0.917418371902,470,16.23,1,4,3811,1,1,3
"118",0.714963639941,1020,35.81,1,3,6998,0,0,5
"119",Inf,1020,35.81,1,3,6998,0,0,5
"120",1.56853192857,1020,35.81,1,3,6998,0,0,5
"121",1.54067538376,1020,35.81,1,3,6998,0,0,5
"122",Inf,1020,35.81,1,3,6998,0,0,5
"123",1.34236593548,1020,35.81,1,3,6998,0,0,5
"124",Inf,1020,35.81,1,3,6998,0,0,5
"125",Inf,1020,35.81,1,3,6998,0,0,5
"126",Inf,1020,35.81,1,3,6998,0,0,5
"127",Inf,1020,35.81,1,3,6998,0,0,5
"128",Inf,1020,35.81,1,3,6998,0,0,5
