"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,29590,15.84,3,3,10287,1,1,28
"2",1,29590,15.84,3,3,10287,1,1,28
"3",Inf,29590,15.84,3,3,10287,1,1,28
"4",Inf,29590,15.84,3,3,10287,1,1,28
"5",1.57225984195,29590,15.84,3,3,10287,1,1,28
"6",0.992159379639,28401,15.96,3,3,10210,1,1,28
"7",1.01113636064,28401,15.96,3,3,10210,1,1,28
"8",0.98836119816,28206,15.79,3,3,9899,1,1,28
"9",Inf,28206,15.79,3,3,9899,1,1,28
"10",1.44387504643,28206,15.79,3,3,9899,1,1,28
"11",Inf,28206,15.79,3,3,9899,1,1,28
"12",NA,28206,15.79,3,3,9899,1,1,28
"13",1,29590,15.84,3,3,10287,1,1,28
"14",Inf,29590,15.84,3,3,10287,1,1,28
"15",Inf,29590,15.84,3,3,10287,1,1,28
"16",0.871181660119,29590,18.52,3,3,9480,1,1,9
"17",Inf,29590,18.52,3,3,9480,1,1,9
"18",0.871181660119,29590,18.52,3,3,9480,1,1,9
"19",0.883877704434,29590,18.52,3,3,9480,1,1,9
"20",0.875283740414,29590,18.52,3,3,9480,1,1,9
"21",1.06083526631,29590,18.52,3,3,9480,1,1,9
"22",Inf,29590,18.52,3,3,9480,1,1,9
"23",Inf,29590,18.52,3,3,9480,1,1,9
"24",1.07392895061,29590,18.52,3,3,9480,1,1,9
"25",0.880586085313,29590,18.52,3,3,9480,1,1,9
"26",NA,29590,18.52,3,3,9480,1,1,9
"27",1,29590,15.84,3,3,10287,1,1,28
"28",Inf,29590,15.84,3,3,10287,1,1,28
"29",Inf,29590,15.84,3,3,10287,1,1,28
"30",1,29590,15.84,3,3,10287,1,1,28
"31",1.48635051368,29590,15.84,3,3,10287,1,1,28
"32",Inf,29590,15.84,3,3,10287,1,1,28
"33",Inf,29590,15.84,3,3,10287,1,1,28
"34",Inf,29590,15.84,3,3,10287,1,1,28
"35",1.11663256956,29590,15.84,3,3,10287,1,1,28
"36",Inf,29590,15.84,3,3,10287,1,1,28
"37",Inf,29590,15.84,3,3,10287,1,1,28
"38",Inf,29590,15.84,3,3,10287,1,1,28
"39",1,29590,15.84,3,3,10287,1,1,28
"40",1.46109931901,29590,15.84,3,3,10287,1,1,28
"41",Inf,29590,15.84,3,3,10287,1,1,28
"42",Inf,29590,15.84,3,3,10287,1,1,28
"43",1.12702550788,29590,15.84,3,3,10287,1,1,28
"44",NA,29590,15.84,3,3,10287,1,1,28
"45",1,29590,15.84,3,3,10287,1,1,28
