"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,8277,193.61,3,3,10623,1,1,0
"2",Inf,8277,193.61,3,3,10623,1,1,0
"3",Inf,8277,193.61,3,3,10623,1,1,0
"4",Inf,8277,193.61,3,3,10623,1,1,0
"5",1,8277,193.61,3,3,10623,1,1,0
"6",Inf,8277,193.61,3,3,10623,1,1,0
"7",Inf,8277,193.61,3,3,10623,1,1,0
"8",Inf,8277,193.61,3,3,10623,1,1,0
"9",Inf,8277,193.61,3,3,10623,1,1,0
"10",0.989697981287,8272,211.95,3,3,10782,1,1,0
"11",1.07256245506,8272,211.95,3,3,10782,1,1,0
"12",Inf,8272,211.95,3,3,10782,1,1,0
"13",1.15398503519,8272,211.95,3,3,10782,1,1,0
"14",0.989697981287,8272,211.95,3,3,10782,1,1,0
"15",Inf,8272,211.95,3,3,10782,1,1,0
"16",0.989697981287,8272,211.95,3,3,10782,1,1,0
"17",0.989697981287,8272,211.95,3,3,10782,1,1,0
"18",Inf,8272,211.95,3,3,10782,1,1,0
"19",Inf,8272,211.95,3,3,10782,1,1,0
"20",Inf,8272,211.95,3,3,10782,1,1,0
"21",0.989697981287,8272,211.95,3,3,10782,1,1,0
"22",NA,8272,211.95,3,3,10782,1,1,0
"23",1,8277,193.61,3,3,10623,1,1,0
"24",Inf,8277,193.61,3,3,10623,1,1,0
"25",1.04925477113,8277,193.61,3,3,10623,1,1,0
"26",Inf,8277,193.61,3,3,10623,1,1,0
"27",0.906527516007,8267,221.14,2,3,8547,1,1,0
"28",0.906527516007,8267,221.14,2,3,8547,1,1,0
"29",0.966671010282,8267,221.14,2,3,8547,1,1,0
"30",0.906527516007,8267,221.14,2,3,8547,1,1,0
"31",Inf,8267,221.14,2,3,8547,1,1,0
"32",Inf,8267,221.14,2,3,8547,1,1,0
"33",Inf,8267,221.14,2,3,8547,1,1,0
"34",Inf,8267,221.14,2,3,8547,1,1,0
"35",0.913487150718,8267,221.14,2,3,8547,1,1,0
"36",0.925793603554,8267,221.14,2,3,8547,1,1,0
"37",Inf,8267,221.14,2,3,8547,1,1,0
"38",Inf,8267,221.14,2,3,8547,1,1,0
"39",Inf,8267,221.14,2,3,8547,1,1,0
"40",Inf,8267,221.14,2,3,8547,1,1,0
"41",Inf,8267,221.14,2,3,8547,1,1,0
"42",Inf,8267,221.14,2,3,8547,1,1,0
"43",Inf,8267,221.14,2,3,8547,1,1,0
"44",0.906527516007,8267,221.14,2,3,8547,1,1,0
"45",NA,8267,221.14,2,3,8547,1,1,0
"46",1,8277,193.61,3,3,10623,1,1,0
"47",Inf,8277,193.61,3,3,10623,1,1,0
"48",Inf,8277,193.61,3,3,10623,1,1,0
"49",Inf,8277,193.61,3,3,10623,1,1,0
"50",0.998691012817,8283,200.28,3,3,10872,1,1,0
"51",1.00704843693,8283,200.28,3,3,10872,1,1,0
"52",Inf,8283,200.28,3,3,10872,1,1,0
"53",0.998691012817,8283,200.28,3,3,10872,1,1,0
"54",1.00961729779,8283,200.28,3,3,10872,1,1,0
"55",Inf,8283,200.28,3,3,10872,1,1,0
"56",Inf,8283,200.28,3,3,10872,1,1,0
"57",Inf,8283,200.28,3,3,10872,1,1,0
"58",Inf,8283,200.28,3,3,10872,1,1,0
"59",Inf,8283,200.28,3,3,10872,1,1,0
"60",Inf,8283,200.28,3,3,10872,1,1,0
"61",Inf,8283,200.28,3,3,10872,1,1,0
"62",Inf,8283,200.28,3,3,10872,1,1,0
"63",Inf,8283,200.28,3,3,10872,1,1,0
"64",1.21929511829,8283,200.28,3,3,10872,1,1,0
"65",Inf,8283,200.28,3,3,10872,1,1,0
"66",Inf,8283,200.28,3,3,10872,1,1,0
"67",1.04801198264,8283,200.28,3,3,10872,1,1,0
"68",1.03875909072,8283,200.28,3,3,10872,1,1,0
"69",NA,8283,200.28,3,3,10872,1,1,0
"70",1,8277,193.61,3,3,10623,1,1,0
"71",Inf,8277,193.61,3,3,10623,1,1,0
"72",1.20179484952,8277,193.61,3,3,10623,1,1,0
"73",Inf,8277,193.61,3,3,10623,1,1,0
"74",Inf,8277,193.61,3,3,10623,1,1,0
"75",Inf,8277,193.61,3,3,10623,1,1,0
"76",Inf,8277,193.61,3,3,10623,1,1,0
"77",1,8277,193.61,3,3,10623,1,1,0
"78",Inf,8277,193.61,3,3,10623,1,1,0
"79",1.1522731166,8277,193.61,3,3,10623,1,1,0
"80",Inf,8277,193.61,3,3,10623,1,1,0
"81",Inf,8277,193.61,3,3,10623,1,1,0
"82",Inf,8277,193.61,3,3,10623,1,1,0
"83",Inf,8277,193.61,3,3,10623,1,1,0
"84",Inf,8277,193.61,3,3,10623,1,1,0
"85",1.00000860476,8277,193.61,3,3,10623,1,1,0
"86",1.04577455333,8277,193.61,3,3,10623,1,1,0
"87",Inf,8277,193.61,3,3,10623,1,1,0
"88",Inf,8277,193.61,3,3,10623,1,1,0
"89",Inf,8277,193.61,3,3,10623,1,1,0
"90",1,8277,193.61,3,3,10623,1,1,0
"91",Inf,8277,193.61,3,3,10623,1,1,0
"92",Inf,8277,193.61,3,3,10623,1,1,0
"93",1.16051304208,8277,193.61,3,3,10623,1,1,0
"94",NA,8277,193.61,3,3,10623,1,1,0
"95",1,8277,193.61,3,3,10623,1,1,0
"96",Inf,8277,193.61,3,3,10623,1,1,0
"97",Inf,8277,193.61,3,3,10623,1,1,0
"98",Inf,8277,193.61,3,3,10623,1,1,0
"99",Inf,8277,193.61,3,3,10623,1,1,0
"100",Inf,8277,193.61,3,3,10623,1,1,0
"101",Inf,8277,193.61,3,3,10623,1,1,0
"102",Inf,8277,193.61,3,3,10623,1,1,0
"103",Inf,8277,193.61,3,3,10623,1,1,0
"104",Inf,8277,193.61,3,3,10623,1,1,0
"105",Inf,8277,193.61,3,3,10623,1,1,0
"106",Inf,8277,193.61,3,3,10623,1,1,0
"107",1,8277,193.61,3,3,10623,1,1,0
"108",Inf,8277,193.61,3,3,10623,1,1,0
"109",Inf,8277,193.61,3,3,10623,1,1,0
"110",Inf,8277,193.61,3,3,10623,1,1,0
"111",1,8277,193.61,3,3,10623,1,1,0
"112",Inf,8277,193.61,3,3,10623,1,1,0
"113",1.03709335049,8277,193.61,3,3,10623,1,1,0
"114",Inf,8277,193.61,3,3,10623,1,1,0
"115",1,8277,193.61,3,3,10623,1,1,0
"116",1.00634515275,8277,193.61,3,3,10623,1,1,0
"117",Inf,8277,193.61,3,3,10623,1,1,0
"118",1.45866569424,8277,193.61,3,3,10623,1,1,0
"119",NA,8277,193.61,3,3,10623,1,1,0
"120",1,8277,193.61,3,3,10623,1,1,0
"121",1.00634515275,8277,193.61,3,3,10623,1,1,0
"122",Inf,8277,193.61,3,3,10623,1,1,0
"123",1.04726242863,8277,193.61,3,3,10623,1,1,0
"124",Inf,8277,193.61,3,3,10623,1,1,0
"125",0.969303850323,6245,186.46,3,3,10641,1,1,0
"126",Inf,6245,186.46,3,3,10641,1,1,0
"127",Inf,6245,186.46,3,3,10641,1,1,0
"128",Inf,6245,186.46,3,3,10641,1,1,0
"129",Inf,6245,186.46,3,3,10641,1,1,0
"130",Inf,6245,186.46,3,3,10641,1,1,0
"131",Inf,6245,186.46,3,3,10641,1,1,0
"132",0.969303850323,6245,186.46,3,3,10641,1,1,0
"133",Inf,6245,186.46,3,3,10641,1,1,0
"134",Inf,6245,186.46,3,3,10641,1,1,0
"135",Inf,6245,186.46,3,3,10641,1,1,0
"136",Inf,6245,186.46,3,3,10641,1,1,0
"137",0.968512590314,6243,187.41,3,3,10627,1,1,0
"138",Inf,6243,187.41,3,3,10627,1,1,0
"139",1.25307264773,6243,187.41,3,3,10627,1,1,0
"140",Inf,6243,187.41,3,3,10627,1,1,0
"141",Inf,6243,187.41,3,3,10627,1,1,0
"142",Inf,6243,187.41,3,3,10627,1,1,0
"143",1.16319365613,6243,187.41,3,3,10627,1,1,0
"144",NA,6243,187.41,3,3,10627,1,1,0
"145",1,8277,193.61,3,3,10623,1,1,0
"146",Inf,8277,193.61,3,3,10623,1,1,0
"147",Inf,8277,193.61,3,3,10623,1,1,0
"148",Inf,8277,193.61,3,3,10623,1,1,0
"149",Inf,8277,193.61,3,3,10623,1,1,0
"150",Inf,8277,193.61,3,3,10623,1,1,0
"151",Inf,8277,193.61,3,3,10623,1,1,0
"152",1,8277,193.61,3,3,10623,1,1,0
"153",Inf,8277,193.61,3,3,10623,1,1,0
"154",Inf,8277,193.61,3,3,10623,1,1,0
"155",Inf,8277,193.61,3,3,10623,1,1,0
"156",Inf,8277,193.61,3,3,10623,1,1,0
"157",Inf,8277,193.61,3,3,10623,1,1,0
"158",Inf,8277,193.61,3,3,10623,1,1,0
"159",1,8277,193.61,3,3,10623,1,1,0
"160",Inf,8277,193.61,3,3,10623,1,1,0
"161",0.989697981287,8272,211.95,3,3,10782,1,1,0
"162",0.989697981287,8272,211.95,3,3,10782,1,1,0
"163",0.989697981287,8272,211.95,3,3,10782,1,1,0
"164",0.985284513545,8272,220.22,3,3,10818,1,1,0
"165",1.03609240529,8272,220.22,3,3,10818,1,1,0
"166",0.985284513545,8272,220.22,3,3,10818,1,1,0
"167",NA,8272,220.22,3,3,10818,1,1,0
"168",1,8277,193.61,3,3,10623,1,1,0
"169",Inf,8277,193.61,3,3,10623,1,1,0
"170",Inf,8277,193.61,3,3,10623,1,1,0
"171",Inf,8277,193.61,3,3,10623,1,1,0
"172",Inf,8277,193.61,3,3,10623,1,1,0
"173",Inf,8277,193.61,3,3,10623,1,1,0
"174",Inf,8277,193.61,3,3,10623,1,1,0
"175",Inf,8277,193.61,3,3,10623,1,1,0
"176",1.01388093727,8277,193.61,3,3,10623,1,1,0
"177",Inf,8277,193.61,3,3,10623,1,1,0
