"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,290866,363.24,1,3,3739,1,1,0
"2",Inf,290866,363.24,1,3,3739,1,1,0
"3",1,290866,363.24,1,3,3739,1,1,0
"4",Inf,290866,363.24,1,3,3739,1,1,0
"5",1,290866,363.24,1,3,3739,1,1,0
"6",Inf,290866,363.24,1,3,3739,1,1,0
"7",0.957706902549,240515,395.57,1,3,3532,1,1,0
"8",0.957706902549,240515,395.57,1,3,3532,1,1,0
"9",Inf,240515,395.57,1,3,3532,1,1,0
"10",0.953896657218,241559,390.78,1,3,3385,1,1,0
"11",Inf,241559,390.78,1,3,3385,1,1,0
"12",Inf,241559,390.78,1,3,3385,1,1,0
"13",1.07584172263,241559,390.78,1,3,3385,1,1,0
"14",0.953896657218,241559,390.78,1,3,3385,1,1,0
"15",Inf,241559,390.78,1,3,3385,1,1,0
"16",0.953896657218,241559,390.78,1,3,3385,1,1,0
"17",1.34057264036,241559,390.78,1,3,3385,1,1,0
"18",1.22872238197,241559,390.78,1,3,3385,1,1,0
"19",Inf,241559,390.78,1,3,3385,1,1,0
"20",0.955508292416,241559,390.78,1,3,3385,1,1,0
"21",NA,241559,390.78,1,3,3385,1,1,0
"22",1,290866,363.24,1,3,3739,1,1,0
"23",0.954170984953,213284,392.16,1,3,3739,1,1,0
"24",Inf,213284,392.16,1,3,3739,1,1,0
"25",Inf,213284,392.16,1,3,3739,1,1,0
"26",Inf,213284,392.16,1,3,3739,1,1,0
"27",1.00312031921,213284,392.16,1,3,3739,1,1,0
"28",0.954170984953,213284,392.16,1,3,3739,1,1,0
"29",0.954170984953,213284,392.16,1,3,3739,1,1,0
"30",0.954170984953,213284,392.16,1,3,3739,1,1,0
"31",Inf,213284,392.16,1,3,3739,1,1,0
"32",Inf,213284,392.16,1,3,3739,1,1,0
"33",Inf,213284,392.16,1,3,3739,1,1,0
"34",0.954170984953,213284,392.16,1,3,3739,1,1,0
"35",0.954170984953,213284,392.16,1,3,3739,1,1,0
"36",0.986532321454,213284,392.16,1,3,3739,1,1,0
"37",Inf,213284,392.16,1,3,3739,1,1,0
