"","First.Variable","Second.Variable","Correlation"
"677","set_parameter.MULTIPUMPING","Pins",-1
"1206","Blocks","RAM",1
"332","set_parameter.MB_MINIMIZE_HW","FMax",-0.858491028500497
"236","set_operation_latency.local_mem_dual_port","Cycles",0.823881989785597
"284","set_resource_constraint.unsigned_divide_8","Cycles",0.774060599574414
"164","set_operation_latency.unsigned_multiply_32","Cycles",0.737376250875972
"157","set_resource_constraint.altfp_multiply_64","Cycles",0.730881587813648
"176","set_operation_latency.unsigned_add_32","Cycles",0.727351218739171
"291","set_resource_constraint.signed_modulus_8","Cycles",0.724738373522863
"217","set_operation_latency.signed_add_32","Cycles",0.718671304032116
"247","set_resource_constraint.signed_modulus_16","Cycles",0.716653425460006
"192","set_resource_constraint.altfp_add_16","Cycles",0.714661557798277
"1238","set_parameter.MB_MINIMIZE_HW","DPS",0.707214503939633
"213","set_resource_constraint.unsigned_multiply_16","Cycles",0.691483367166167
"162","set_resource_constraint.unsigned_multiply_32","Cycles",0.681848295900497
"178","set_resource_constraint.signed_multiply_64","Cycles",0.681300853620469
"204","set_operation_latency.unsigned_add_16","Cycles",0.679906499138202
"243","set_resource_constraint.signed_add_8","Cycles",0.676639581060932
"193","set_resource_constraint.signed_modulus_32","Cycles",0.675970933451289
"277","set_operation_latency.unsigned_divide_32","Cycles",0.67551470261311
"225","set_resource_constraint.signed_add_32","Cycles",0.669003202826859
"270","set_resource_constraint.unsigned_add_16","Cycles",0.663702422227656
"175","set_operation_latency.unsigned_multiply_8","Cycles",0.663016665350814
"154","set_resource_constraint.signed_divide_16","Cycles",0.65473840165381
"189","set_resource_constraint.unsigned_divide_64","Cycles",0.653903756834581
"166","set_operation_latency.unsigned_divide_16","Cycles",0.653818901324111
"214","set_operation_latency.signed_modulus_64","Cycles",0.653747953559283
"899","Cycles","Regs",0.650753042157663
"220","set_resource_constraint.unsigned_modulus_8","Cycles",0.649132574835233
"254","set_operation_latency.signed_comp_u","Cycles",0.645408554398
"173","set_resource_constraint.altfp_add_64","Cycles",0.644018291230648
"268","set_operation_latency.signed_divide_32","Cycles",0.642428780362569
"167","set_resource_constraint.signed_multiply_16","Cycles",0.639608888400864
"200","set_operation_latency.altfp_multiply_16","Cycles",-0.636835134334895
"287","set_operation_latency.unsigned_add_8","Cycles",0.633433634000747
"206","set_parameter.CLOCK_PERIOD","Cycles",0.630682691143051
"238","set_resource_constraint.signed_divide_32","Cycles",0.628902692184017
"261","set_operation_latency.signed_add_16","Cycles",0.627787646524382
"212","set_resource_constraint.altfp_multiply_8","Cycles",0.62768530440423
"183","set_resource_constraint.signed_add_16","Cycles",0.620604046831704
"267","set_resource_constraint.signed_add_64","Cycles",0.620545027056516
"252","set_operation_latency.signed_comp_o","Cycles",0.61652381433373
"292","set_resource_constraint.signed_divide_64","Cycles",0.611617747629354
"239","set_resource_constraint.signed_multiply_32","Cycles",0.603054912477511
"180","set_resource_constraint.altfp_subtract_16","Cycles",0.602667084762092
"1006","set_resource_constraint.signed_modulus_64","Blocks",-0.595436607198004
"1157","set_resource_constraint.signed_modulus_64","RAM",-0.595436607198004
"289","set_resource_constraint.altfp_divide_8","Cycles",0.587061135303583
"249","set_resource_constraint.unsigned_modulus_32","Cycles",0.584879516060406
"1041","set_operation_latency.unsigned_modulus_32","Blocks",-0.584271214349029
"1192","set_operation_latency.unsigned_modulus_32","RAM",-0.584271214349029
"185","set_resource_constraint.unsigned_multiply_8","Cycles",0.580726198224288
"231","set_resource_constraint.altfp_add_32","Cycles",0.576159634285336
"179","set_operation_latency.signed_divide_64","Cycles",0.574744955980521
"798","set_parameter.DONT_CHAIN_GET_ELEM_PTR","Regs",0.572358652301505
"1011","set_resource_constraint.unsigned_divide_32","Blocks",-0.57064232935072
"1162","set_resource_constraint.unsigned_divide_32","RAM",-0.57064232935072
"283","set_resource_constraint.altfp_divide_32","Cycles",0.569860558613841
"266","set_resource_constraint.unsigned_add_64","Cycles",0.569493015483129
"165","set_resource_constraint.unsigned_add_32","Cycles",0.56481685077355
"1281","set_parameter.MULTIPUMPING","DPS",0.558788424568342
"1355","Pins","DPS",-0.558788424568342
"197","set_resource_constraint.mem_dual_port","Cycles",0.557202239426104
"251","set_resource_constraint.signed_modulus_64","Cycles",0.556115734821064
"286","set_operation_latency.unsigned_modulus_32","Cycles",0.55175792291217
"207","set_resource_constraint.altfp_subtract_8","Cycles",0.547777144005684
"281","set_operation_latency.unsigned_divide_8","Cycles",0.542114185239391
"246","set_resource_constraint.altfp_divide_16","Cycles",0.535642075990367
"227","set_resource_constraint.altfp_divide_64","Cycles",0.530673822631446
"972","set_operation_latency.signed_add_32","Blocks",-0.529562241845468
"1123","set_operation_latency.signed_add_32","RAM",-0.529562241845468
"1321","set_operation_latency.altfp_divide_32","DPS",0.514220520888016
"335","set_parameter.MULTIPLIER_NO_CHAIN","FMax",-0.512522843551197
"186","set_operation_latency.reg","Cycles",0.511633654273866
"1353","FMax","DPS",-0.505568450299349
"196","set_operation_latency.unsigned_modulus_8","Cycles",0.505166541928926
"1227","set_operation_latency.altfp_add_64","DPS",0.50258826635502
"821","set_operation_latency.signed_add_32","Regs",0.498944360658895
"190","set_resource_constraint.signed_divide_8","Cycles",0.496436948308038
"293","set_resource_constraint.shared_mem_dual_port","Cycles",0.491281784418705
"1266","set_operation_latency.altfp_divide_64","DPS",0.488516051857696
"195","set_resource_constraint.unsigned_modulus_64","Cycles",0.488048483272403
"1335","set_operation_latency.altfp_subtract_16","DPS",0.4876491605054
"256","set_resource_constraint.unsigned_divide_32","Cycles",0.478880872120514
"858","set_operation_latency.signed_comp_u","Regs",0.474056644516086
"790","set_operation_latency.reg","Regs",0.467663280753301
"865","set_operation_latency.signed_add_16","Regs",0.46687932308171
"199","set_operation_latency.signed_multiply_16","Cycles",0.466335192917489
"191","set_operation_latency.altfp_extend_32","Cycles",0.465720345551298
"663","set_parameter.INCREMENTAL_SDC","Pins",-0.465359017137538
"796","set_resource_constraint.altfp_add_16","Regs",0.464574506743822
"840","set_operation_latency.local_mem_dual_port","Regs",0.46418073535127
"156","set_operation_latency.altfp_truncate_16","Cycles",-0.463596394374454
"234","set_operation_latency.signed_multiply_8","Cycles",0.462879164554648
"1228","set_operation_latency.altfp_subtract_32","DPS",0.462488488093978
"1320","set_operation_latency.altfp_add_8","DPS",0.462245469898648
"717","set_operation_latency.altfp_divide_32","Pins",-0.462160297947646
"682","set_parameter.PIPELINE_ALL","Pins",-0.46027701092015
"761","set_resource_constraint.altfp_multiply_64","Regs",0.458941127811815
"161","set_resource_constraint.unsigned_modulus_16","Cycles",0.456793028371138
"201","set_operation_latency.unsigned_modulus_16","Cycles",0.455991311116437
"888","set_resource_constraint.unsigned_divide_8","Regs",0.454522899316099
"1290","set_operation_latency.altfp_subtract_8","DPS",0.453137665795547
"893","set_resource_constraint.altfp_divide_8","Regs",0.451854822252494
"159","set_resource_constraint.signed_multiply_8","Cycles",0.447094177166284
"222","set_parameter.ENABLE_PATTERN_SHARING","Cycles",-0.445306320667313
"1283","set_operation_latency.altfp_add_32","DPS",0.444323169566698
"409","set_operation_latency.altfp_add_16","FMax",-0.441863063124421
"852","set_operation_latency.signed_add_64","Regs",0.439810921308631
"870","set_resource_constraint.unsigned_add_64","Regs",0.438985702047128
"944","set_resource_constraint.unsigned_divide_64","Blocks",-0.438626391893013
"1095","set_resource_constraint.unsigned_divide_64","RAM",-0.438626391893013
"248","set_operation_latency.signed_add_64","Cycles",0.438251317265423
"779","set_operation_latency.unsigned_multiply_8","Regs",0.436998715077575
"219","set_operation_latency.unsigned_divide_64","Cycles",0.430996230739165
"817","set_resource_constraint.unsigned_multiply_16","Regs",0.430597671188965
"768","set_operation_latency.unsigned_multiply_32","Regs",0.42754286063898
"801","set_resource_constraint.mem_dual_port","Regs",0.420818728412153
"203","set_operation_latency.signed_add_8","Cycles",0.42078886511459
"245","set_resource_constraint.altfp_multiply_32","Cycles",0.419671169680366
