"","First.Variable","Second.Variable","Correlation"
"677","set_parameter.MULTIPUMPING","Pins",-1
"1281","set_parameter.MULTIPUMPING","DPS",0.999056743226441
"1355","Pins","DPS",-0.999056743226441
"821","set_operation_latency.signed_add_32","Regs",0.823833831388682
"901","LUs","Regs",0.753564125487244
"519","set_operation_latency.signed_add_32","LUs",0.707619407070742
"455","set_operation_latency.altfp_divide_16","LUs",0.695372165630351
"565","set_operation_latency.altfp_add_8","LUs",0.673641254990304
"899","Cycles","Regs",0.666493831221555
"769","set_resource_constraint.unsigned_add_32","Regs",-0.653012555626215
"467","set_resource_constraint.unsigned_add_32","LUs",-0.628422200079475
"732","set_resource_constraint.unsigned_add_8","Pins",0.608807904644144
"1336","set_resource_constraint.unsigned_add_8","DPS",-0.605989615958665
"1328","set_operation_latency.altfp_divide_8","DPS",0.585404709625887
"724","set_operation_latency.altfp_divide_8","Pins",-0.576738845794688
"566","set_operation_latency.altfp_divide_32","LUs",0.565611647114027
"372","set_combine_basicblock","FMax",-0.565225414595621
"725","set_parameter.EXPLICIT_LPM_MULTS","Pins",-0.533548374069612
"483","set_parameter.MB_MINIMIZE_HW","LUs",0.530721148066235
"494","set_resource_constraint.altfp_add_16","LUs",-0.529514516361144
"1329","set_parameter.EXPLICIT_LPM_MULTS","DPS",0.52834721384575
"799","set_resource_constraint.unsigned_modulus_64","Regs",-0.528249753333535
"796","set_resource_constraint.altfp_add_16","Regs",-0.523972494074182
"1314","set_operation_latency.altfp_multiply_32","DPS",0.515234614319446
"595","set_resource_constraint.shared_mem_dual_port","LUs",-0.514740754330662
"515","set_resource_constraint.unsigned_multiply_16","LUs",-0.512698146293171
"590","set_operation_latency.altfp_extend_16","LUs",-0.507945349643224
"562","set_operation_latency.unsigned_add_64","LUs",-0.504773132850196
"710","set_operation_latency.altfp_multiply_32","Pins",-0.504108484277576
"1220","set_resource_constraint.altfp_add_8","DPS",-0.494873679685699
"616","set_resource_constraint.altfp_add_8","Pins",0.493282629703354
"592","set_resource_constraint.altfp_subtract_32","LUs",-0.481161357140759
"611","set_parameter.NO_ROMS","Pins",-0.479242857218443
"225","set_resource_constraint.signed_add_32","Cycles",-0.479092107691517
"1215","set_parameter.NO_ROMS","DPS",0.476560353104961
