"","First.Variable","Second.Variable","Correlation"
"677","set_parameter.MULTIPUMPING","Pins",-1
"225","set_resource_constraint.signed_add_32","Cycles",-0.825396381542292
"390","set_resource_constraint.signed_multiply_32","FMax",-0.716110752795984
"785","set_parameter.MB_MINIMIZE_HW","Regs",0.694986406041833
"368","set_operation_latency.signed_add_32","FMax",0.690834572490012
"320","set_operation_latency.signed_multiply_32","FMax",-0.602675185237127
"382","set_resource_constraint.altfp_add_32","FMax",-0.568899343644866
"634","set_parameter.MB_MINIMIZE_HW","Pins",-0.554811470792645
"626","set_resource_constraint.altfp_add_64","Pins",0.550061319566982
"389","set_resource_constraint.signed_divide_32","FMax",-0.547077835363671
"841","set_operation_latency.altfp_subtract_64","Regs",0.530046129356415
"835","set_resource_constraint.altfp_add_32","Regs",-0.524444047410952
"421","set_resource_constraint.unsigned_add_16","FMax",-0.50722867351593
"157","set_resource_constraint.altfp_multiply_64","Cycles",-0.489166988363838
"314","set_resource_constraint.altfp_add_8","FMax",-0.488369444669625
"833","set_parameter.PIPELINE_ALL","Regs",0.485339877342202
"290","set_resource_constraint.altfp_subtract_32","Cycles",-0.475535244147026
"229","set_parameter.PIPELINE_ALL","Cycles",0.469918430787009
"164","set_operation_latency.unsigned_multiply_32","Cycles",-0.459022693420091
"662","set_operation_latency.altfp_divide_64","Pins",-0.45209674387315
"899","Cycles","Regs",0.449424069789751
"757","set_operation_latency.altfp_divide_16","Regs",0.4410777106783
"179","set_operation_latency.signed_divide_64","Cycles",-0.43700595089286
"875","set_operation_latency.altfp_divide_8","Regs",0.435845649287493
"840","set_operation_latency.local_mem_dual_port","Regs",-0.433018119063018
"828","set_parameter.MULTIPUMPING","Regs",0.427922450388336
"902","Pins","Regs",-0.427922450388336
"791","set_operation_latency.unsigned_modulus_64","Regs",-0.427579857637827
"900","FMax","Regs",0.416122530662252
"207","set_resource_constraint.altfp_subtract_8","Cycles",-0.414332740809007
"388","set_operation_latency.altfp_subtract_64","FMax",0.412722256428937
"862","set_operation_latency.altfp_add_16","Regs",0.409770310529363
"830","set_operation_latency.altfp_add_32","Regs",0.409291894745583
"717","set_operation_latency.altfp_divide_32","Pins",-0.408855227151338
"153","set_operation_latency.altfp_divide_16","Cycles",0.407892796364185
"821","set_operation_latency.signed_add_32","Regs",0.402835040557883
"843","set_resource_constraint.signed_multiply_32","Regs",-0.402710016595287
"849","set_resource_constraint.altfp_multiply_32","Regs",-0.402044155434237
"863","set_operation_latency.altfp_truncate_32","Regs",-0.400083163079613
"773","set_operation_latency.signed_multiply_32","Regs",-0.397537126364368
"170","set_operation_latency.altfp_add_64","Cycles",0.395671807431498
"816","set_resource_constraint.altfp_multiply_8","Regs",-0.393973390115097
"611","set_parameter.NO_ROMS","Pins",-0.38976894711658
"842","set_resource_constraint.signed_divide_32","Regs",-0.388891458888659
"618","set_resource_constraint.unsigned_add_32","Pins",0.387207123162717
"767","set_resource_constraint.altfp_add_8","Regs",-0.386928780257881
"226","set_operation_latency.altfp_add_32","Cycles",0.383910598287854
"775","set_operation_latency.altfp_subtract_32","Regs",0.383248640733304
"808","set_operation_latency.unsigned_add_16","Regs",-0.382932367769996
"746","set_resource_constraint.shared_mem_dual_port","Pins",0.381568469892172
"874","set_resource_constraint.unsigned_add_16","Regs",-0.378140912930383
"277","set_operation_latency.unsigned_divide_32","Cycles",-0.374594368438647
"227","set_resource_constraint.altfp_divide_64","Cycles",-0.374294028824811
"245","set_resource_constraint.altfp_multiply_32","Cycles",-0.372198324487435
"185","set_resource_constraint.unsigned_multiply_8","Cycles",-0.370762973443778
"792","set_resource_constraint.unsigned_divide_16","Regs",-0.363753103662079
"871","set_resource_constraint.signed_add_64","Regs",-0.362780258057114
"897","set_resource_constraint.shared_mem_dual_port","Regs",-0.362501259651975
"876","set_parameter.EXPLICIT_LPM_MULTS","Regs",0.361965164204121
"206","set_parameter.CLOCK_PERIOD","Cycles",-0.35757647204781
"688","set_operation_latency.altfp_extend_64","Pins",0.35498051755877
"256","set_resource_constraint.unsigned_divide_32","Cycles",-0.354960682012374
"289","set_resource_constraint.altfp_divide_8","Cycles",-0.354193747304717
"812","set_parameter.NO_LOOP_PIPELINING","Regs",0.349611795703751
"881","set_operation_latency.unsigned_divide_32","Regs",-0.348423790966085
"189","set_resource_constraint.unsigned_divide_64","Cycles",-0.347993406217241
"776","set_parameter.PS_MIN_SIZE","Regs",-0.347213977018308
"276","set_operation_latency.altfp_extend_8","Cycles",-0.346632824227163
"783","set_operation_latency.signed_divide_64","Regs",-0.346382397676516
"768","set_operation_latency.unsigned_multiply_32","Regs",-0.344313687356041
"209","set_operation_latency.altfp_divide_64","Cycles",0.341729957140077
"279","set_resource_constraint.unsigned_add_8","Cycles",-0.336449963250424
"868","set_operation_latency.altfp_divide_32","Regs",0.336305128503782
"771","set_resource_constraint.signed_multiply_16","Regs",-0.335381489690143
"690","set_operation_latency.altfp_subtract_64","Pins",-0.334517723415202
"734","set_operation_latency.unsigned_divide_8","Pins",0.33424727795408
"212","set_resource_constraint.altfp_multiply_8","Cycles",-0.333333021925608
"162","set_resource_constraint.unsigned_multiply_32","Cycles",-0.332939798709442
"731","set_operation_latency.altfp_subtract_16","Pins",-0.332667969797744
"414","set_operation_latency.altfp_add_8","FMax",0.329523113400572
"193","set_resource_constraint.signed_modulus_32","Cycles",-0.327877193462436
"712","set_operation_latency.altfp_truncate_32","Pins",0.325445478211175
"788","set_parameter.MULTIPLIER_NO_CHAIN","Regs",0.322477242025831
"288","set_operation_latency.altfp_extend_16","Cycles",-0.322193555500763
"188","set_resource_constraint.unsigned_divide_16","Cycles",-0.32136697546113
"287","set_operation_latency.unsigned_add_8","Cycles",-0.320825221048785
"627","set_operation_latency.altfp_multiply_64","Pins",-0.319617041816294
"761","set_resource_constraint.altfp_multiply_64","Regs",-0.318621292701803
"762","set_parameter.NO_ROMS","Regs",0.318369346523532
"332","set_parameter.MB_MINIMIZE_HW","FMax",0.317219166713766
"715","set_parameter.PS_BIT_DIFF_THRESHOLD","Pins",-0.316268876048203
"200","set_operation_latency.altfp_multiply_16","Cycles",0.31477095957513
"725","set_parameter.EXPLICIT_LPM_MULTS","Pins",-0.311574256197483
"685","set_parameter.PS_MIN_WIDTH","Pins",0.305553462334231
"814","set_parameter.INCREMENTAL_SDC","Regs",0.304458358645604
"661","set_parameter.NO_LOOP_PIPELINING","Pins",-0.302726782681097
"711","set_operation_latency.altfp_add_16","Pins",-0.30095470684487
"286","set_operation_latency.unsigned_modulus_32","Cycles",-0.296939061367907
"836","set_parameter.PS_MIN_WIDTH","Regs",-0.296540416559084
"724","set_operation_latency.altfp_divide_8","Pins",-0.296349653664728
