"","First.Variable","Second.Variable","Correlation"
"677","set_parameter.MULTIPUMPING","Pins",-1
"1206","Blocks","RAM",1
"1281","set_parameter.MULTIPUMPING","DPS",0.809014561424951
"1355","Pins","DPS",-0.809014561424951
"1238","set_parameter.MB_MINIMIZE_HW","DPS",0.785701322236576
"331","set_resource_constraint.altfp_subtract_16","FMax",0.722339898905956
"370","set_operation_latency.unsigned_divide_64","FMax",0.721086492279691
"219","set_operation_latency.unsigned_divide_64","Cycles",0.712935115114899
"821","set_operation_latency.signed_add_32","Regs",0.70848647048895
"415","set_operation_latency.altfp_divide_32","FMax",-0.697454013934425
"344","set_resource_constraint.signed_modulus_32","FMax",0.680868765656763
"389","set_resource_constraint.signed_divide_32","FMax",0.669887616317004
"371","set_resource_constraint.unsigned_modulus_8","FMax",0.669498791511645
"394","set_resource_constraint.signed_add_8","FMax",0.66447504293632
"332","set_parameter.MB_MINIMIZE_HW","FMax",-0.661785231218107
"376","set_resource_constraint.signed_add_32","FMax",0.647172605418515
"339","set_resource_constraint.unsigned_divide_16","FMax",0.643567224357469
"408","set_operation_latency.altfp_multiply_32","FMax",-0.642470661084375
"364","set_resource_constraint.unsigned_multiply_16","FMax",0.639245939744942
"435","set_resource_constraint.unsigned_divide_8","FMax",0.633102390816291
"852","set_operation_latency.signed_add_64","Regs",0.628177328926681
"434","set_resource_constraint.altfp_divide_32","FMax",0.61644643060511
"443","set_resource_constraint.signed_divide_64","FMax",0.614996587387235
"984","set_parameter.PIPELINE_ALL","Blocks",0.613911502445234
"1135","set_parameter.PIPELINE_ALL","RAM",0.613911502445234
"254","set_operation_latency.signed_comp_u","Cycles",0.611618554206407
"351","set_operation_latency.altfp_multiply_16","FMax",-0.610094871837005
"312","set_resource_constraint.unsigned_modulus_16","FMax",0.609307710848214
"343","set_resource_constraint.altfp_add_16","FMax",0.607440951133902
"357","set_parameter.CLOCK_PERIOD","FMax",0.606449422198348
"388","set_operation_latency.altfp_subtract_64","FMax",-0.603160928192295
"367","set_resource_constraint.unsigned_multiply_64","FMax",0.602253727069881
"325","set_operation_latency.altfp_multiply_64","FMax",-0.598821286952255
"803","set_operation_latency.signed_multiply_16","Regs",0.594975539964598
"1294","set_operation_latency.altfp_subtract_64","DPS",0.593157174824808
"417","set_resource_constraint.unsigned_add_64","FMax",0.588684225660406
"407","set_resource_constraint.unsigned_divide_32","FMax",0.587196182883803
"421","set_resource_constraint.unsigned_add_16","FMax",0.58413251898671
"304","set_operation_latency.altfp_divide_16","FMax",-0.57859146542703
"313","set_resource_constraint.unsigned_multiply_32","FMax",0.575836950968022
"162","set_resource_constraint.unsigned_multiply_32","Cycles",0.568492687286114
"414","set_operation_latency.altfp_add_8","FMax",-0.566323455654339
"322","set_operation_latency.altfp_subtract_32","FMax",-0.565621133661022
"243","set_resource_constraint.signed_add_8","Cycles",0.565145003876031
"220","set_resource_constraint.unsigned_modulus_8","Cycles",0.564386533455869
"340","set_resource_constraint.unsigned_divide_64","FMax",0.563816879255815
"314","set_resource_constraint.altfp_add_8","FMax",0.563663165066748
"899","Cycles","Regs",0.563043175771722
"338","set_operation_latency.unsigned_modulus_64","FMax",0.562377033080451
"336","set_resource_constraint.unsigned_multiply_8","FMax",0.561258718796416
"345","set_parameter.DONT_CHAIN_GET_ELEM_PTR","FMax",-0.559655733874107
"180","set_resource_constraint.altfp_subtract_16","Cycles",0.558301135405381
"236","set_operation_latency.local_mem_dual_port","Cycles",0.557833401609112
"1353","FMax","DPS",-0.556532274414502
"329","set_resource_constraint.signed_multiply_64","FMax",0.55535162844859
"358","set_resource_constraint.altfp_subtract_8","FMax",0.554724738872032
"977","set_parameter.ENABLE_PATTERN_SHARING","Blocks",0.554283332554871
"1128","set_parameter.ENABLE_PATTERN_SHARING","RAM",0.554283332554871
"291","set_resource_constraint.signed_modulus_8","Cycles",0.552987751932196
"400","set_resource_constraint.unsigned_modulus_32","FMax",0.547111243126592
"283","set_resource_constraint.altfp_divide_32","Cycles",0.546393086250229
"424","set_parameter.MB_MAX_BACK_PASSES","FMax",0.543131366120527
"377","set_operation_latency.altfp_add_32","FMax",-0.54272172536515
"321","set_operation_latency.altfp_add_64","FMax",-0.540517074871161
"216","set_resource_constraint.unsigned_multiply_64","Cycles",0.539742738246813
"360","set_operation_latency.altfp_divide_64","FMax",-0.537886600711797
"310","set_resource_constraint.signed_multiply_8","FMax",0.537762740320145
"315","set_operation_latency.unsigned_multiply_32","FMax",0.5370927488861
"292","set_resource_constraint.signed_divide_64","Cycles",0.537064376497421
"446","Cycles","FMax",0.536715593577757
"440","set_resource_constraint.altfp_divide_8","FMax",0.536697052633011
"1314","set_operation_latency.altfp_multiply_32","DPS",0.532217278230903
"397","set_resource_constraint.altfp_divide_16","FMax",0.530514019461871
"353","set_resource_constraint.altfp_subtract_64","FMax",0.521958403233833
"384","set_operation_latency.altfp_subtract_8","FMax",-0.521384262390025
"305","set_resource_constraint.signed_divide_16","FMax",0.520848079868778
"316","set_resource_constraint.unsigned_add_32","FMax",0.52013176354884
"379","set_operation_latency.signed_modulus_8","FMax",0.515714232395629
"195","set_resource_constraint.unsigned_modulus_64","Cycles",0.515713951645292
"209","set_operation_latency.altfp_divide_64","Cycles",-0.514060134593342
"157","set_resource_constraint.altfp_multiply_64","Cycles",0.506017905319197
"324","set_resource_constraint.altfp_add_64","FMax",0.50321552806841
"387","set_operation_latency.local_mem_dual_port","FMax",0.500344788387194
"270","set_resource_constraint.unsigned_add_16","Cycles",0.499421815179758
"206","set_parameter.CLOCK_PERIOD","Cycles",0.498719615201552
"183","set_resource_constraint.signed_add_16","Cycles",0.494569734266754
"432","set_operation_latency.unsigned_divide_8","FMax",0.494372769190402
"422","set_operation_latency.altfp_divide_8","FMax",-0.494343381078832
"163","set_resource_constraint.altfp_add_8","Cycles",0.494168954073581
"266","set_resource_constraint.unsigned_add_64","Cycles",0.494099707801036
"405","set_operation_latency.signed_comp_u","FMax",0.492753666503566
"418","set_resource_constraint.signed_add_64","FMax",0.492732254812476
"1050","Cycles","Blocks",-0.492503863138738
"1201","Cycles","RAM",-0.492503863138738
"156","set_operation_latency.altfp_truncate_16","Cycles",0.490041448140614
"429","set_operation_latency.altfp_subtract_16","FMax",-0.48819363337816
"335","set_parameter.MULTIPLIER_NO_CHAIN","FMax",-0.486795830440343
"790","set_operation_latency.reg","Regs",0.484030699504199
"239","set_resource_constraint.signed_multiply_32","Cycles",0.483022227666924
"318","set_resource_constraint.signed_multiply_16","FMax",0.482559391875159
"307","set_operation_latency.altfp_truncate_16","FMax",0.482297538528449
"442","set_resource_constraint.signed_modulus_8","FMax",0.481976704068899
"396","set_resource_constraint.altfp_multiply_32","FMax",0.481230860688861
"390","set_resource_constraint.signed_multiply_32","FMax",0.479955176930027
"179","set_operation_latency.signed_divide_64","Cycles",0.479788230367842
"237","set_operation_latency.altfp_subtract_64","Cycles",-0.478745202597535
"164","set_operation_latency.unsigned_multiply_32","Cycles",0.478544135001402
"355","set_operation_latency.unsigned_add_16","FMax",0.477288703874794
"1047","set_resource_constraint.signed_divide_64","Blocks",-0.476446459274234
"1198","set_resource_constraint.signed_divide_64","RAM",-0.476446459274234
"373","set_parameter.ENABLE_PATTERN_SHARING","FMax",-0.474489249755
"398","set_resource_constraint.signed_modulus_16","FMax",0.474322060461538
"193","set_resource_constraint.signed_modulus_32","Cycles",0.472885097617543
"1054","Regs","Blocks",-0.472390812606968
"1205","Regs","RAM",-0.472390812606968
"383","set_parameter.PS_MIN_WIDTH","FMax",0.471913643609536
"935","set_resource_constraint.altfp_subtract_16","Blocks",-0.470892435400266
"1086","set_resource_constraint.altfp_subtract_16","RAM",-0.470892435400266
"213","set_resource_constraint.unsigned_multiply_16","Cycles",0.470754447121271
"334","set_resource_constraint.signed_add_16","FMax",0.47040364348976
