"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,5224,164.58,1,3,1126,1,1,3
"2",Inf,5224,164.58,1,3,1126,1,1,3
"3",Inf,5224,164.58,1,3,1126,1,1,3
"4",Inf,5224,164.58,1,3,1126,1,1,3
"5",1,5224,164.58,1,3,1126,1,1,3
"6",Inf,5224,164.58,1,3,1126,1,1,3
"7",1,5224,164.58,1,3,1126,1,1,3
"8",1.35158617429,5224,164.58,1,3,1126,1,1,3
"9",Inf,5224,164.58,1,3,1126,1,1,3
"10",Inf,5224,164.58,1,3,1126,1,1,3
"11",Inf,5224,164.58,1,3,1126,1,1,3
"12",1,5224,164.58,1,3,1126,1,1,3
"13",Inf,5224,164.58,1,3,1126,1,1,3
"14",Inf,5224,164.58,1,3,1126,1,1,3
"15",1,5224,164.58,1,3,1126,1,1,3
"16",Inf,5224,164.58,1,3,1126,1,1,3
"17",Inf,5224,164.58,1,3,1126,1,1,3
"18",Inf,5224,164.58,1,3,1126,1,1,3
"19",1.14305197719,5224,164.58,1,3,1126,1,1,3
"20",Inf,5224,164.58,1,3,1126,1,1,3
"21",Inf,5224,164.58,1,3,1126,1,1,3
"22",Inf,5224,164.58,1,3,1126,1,1,3
"23",Inf,5224,164.58,1,3,1126,1,1,3
"24",1.80565029909,5224,164.58,1,3,1126,1,1,3
"25",0.993386601468,5224,159.36,1,3,1015,1,1,3
"26",0.993386601468,5224,159.36,1,3,1015,1,1,3
"27",0.993386601468,5224,159.36,1,3,1015,1,1,3
"28",1.02448096574,5224,159.36,1,3,1015,1,1,3
"29",NA,5224,159.36,1,3,1015,1,1,3
"30",1,5224,164.58,1,3,1126,1,1,3
"31",1,5224,164.58,1,3,1126,1,1,3
"32",Inf,5224,164.58,1,3,1126,1,1,3
"33",1,5224,164.58,1,3,1126,1,1,3
"34",Inf,5224,164.58,1,3,1126,1,1,3
"35",2.24903027475,5224,164.58,1,3,1126,1,1,3
"36",Inf,5224,164.58,1,3,1126,1,1,3
"37",Inf,5224,164.58,1,3,1126,1,1,3
"38",Inf,5224,164.58,1,3,1126,1,1,3
"39",Inf,5224,164.58,1,3,1126,1,1,3
"40",Inf,5224,164.58,1,3,1126,1,1,3
"41",1.15805998596,5224,164.58,1,3,1126,1,1,3
"42",Inf,5224,164.58,1,3,1126,1,1,3
"43",1,5224,164.58,1,3,1126,1,1,3
"44",1.01265762069,5224,164.58,1,3,1126,1,1,3
"45",Inf,5224,164.58,1,3,1126,1,1,3
"46",2.55307021071,5224,164.58,1,3,1126,1,1,3
"47",1.00753207234,5224,164.58,1,3,1126,1,1,3
"48",Inf,5224,164.58,1,3,1126,1,1,3
"49",Inf,5224,164.58,1,3,1126,1,1,3
"50",1,5224,164.58,1,3,1126,1,1,3
"51",Inf,5224,164.58,1,3,1126,1,1,3
"52",Inf,5224,164.58,1,3,1126,1,1,3
"53",Inf,5224,164.58,1,3,1126,1,1,3
"54",1,5224,164.58,1,3,1126,1,1,3
"55",Inf,5224,164.58,1,3,1126,1,1,3
"56",Inf,5224,164.58,1,3,1126,1,1,3
"57",Inf,5224,164.58,1,3,1126,1,1,3
"58",1,5224,164.58,1,3,1126,1,1,3
"59",NA,5224,164.58,1,3,1126,1,1,3
"60",1,5224,164.58,1,3,1126,1,1,3
"61",Inf,5224,164.58,1,3,1126,1,1,3
"62",1,5224,164.58,1,3,1126,1,1,3
"63",Inf,5224,164.58,1,3,1126,1,1,3
"64",Inf,5224,164.58,1,3,1126,1,1,3
"65",Inf,5224,164.58,1,3,1126,1,1,3
"66",Inf,5224,164.58,1,3,1126,1,1,3
"67",Inf,5224,164.58,1,3,1126,1,1,3
"68",Inf,5224,164.58,1,3,1126,1,1,3
"69",Inf,5224,164.58,1,3,1126,1,1,3
"70",Inf,5224,164.58,1,3,1126,1,1,3
"71",Inf,5224,164.58,1,3,1126,1,1,3
"72",Inf,5224,164.58,1,3,1126,1,1,3
"73",1.23611768201,5224,164.58,1,3,1126,1,1,3
"74",Inf,5224,164.58,1,3,1126,1,1,3
"75",Inf,5224,164.58,1,3,1126,1,1,3
"76",Inf,5224,164.58,1,3,1126,1,1,3
"77",Inf,5224,164.58,1,3,1126,1,1,3
"78",1,5224,164.58,1,3,1126,1,1,3
"79",0.993386601468,5224,159.36,1,3,1015,1,1,3
"80",Inf,5224,159.36,1,3,1015,1,1,3
"81",1.49201322224,5224,159.36,1,3,1015,1,1,3
"82",1.67503287573,5224,159.36,1,3,1015,1,1,3
"83",2.07959368768,5224,159.36,1,3,1015,1,1,3
"84",1.01840861161,5224,159.36,1,3,1015,1,1,3
"85",Inf,5224,159.36,1,3,1015,1,1,3
"86",0.956076979082,5039,158,1,3,868,1,1,3
"87",Inf,5039,158,1,3,868,1,1,3
"88",Inf,5039,158,1,3,868,1,1,3
"89",0.960030342726,5039,158,1,3,868,1,1,3
"90",0.778731371294,5039,235.68,1,3,803,1,1,2
"91",NA,5039,235.68,1,3,803,1,1,2
"92",1,5224,164.58,1,3,1126,1,1,3
"93",Inf,5224,164.58,1,3,1126,1,1,3
"94",Inf,5224,164.58,1,3,1126,1,1,3
"95",Inf,5224,164.58,1,3,1126,1,1,3
"96",Inf,5224,164.58,1,3,1126,1,1,3
"97",1,5224,164.58,1,3,1126,1,1,3
"98",Inf,5224,164.58,1,3,1126,1,1,3
"99",Inf,5224,164.58,1,3,1126,1,1,3
"100",Inf,5224,164.58,1,3,1126,1,1,3
"101",Inf,5224,164.58,1,3,1126,1,1,3
"102",Inf,5224,164.58,1,3,1126,1,1,3
"103",1.00175830169,5224,164.58,1,3,1126,1,1,3
"104",0.997436077883,5043,151.56,1,4,909,1,1,3
"105",Inf,5043,151.56,1,4,909,1,1,3
"106",Inf,5043,151.56,1,4,909,1,1,3
"107",Inf,5043,151.56,1,4,909,1,1,3
"108",1.0972569986,5043,151.56,1,4,909,1,1,3
"109",1.11140574749,5043,151.56,1,4,909,1,1,3
"110",Inf,5043,151.56,1,4,909,1,1,3
"111",0.988447021805,5043,159.72,1,4,979,1,1,3
"112",1.07505794693,5043,159.72,1,4,979,1,1,3
"113",1.9114524153,5043,159.72,1,4,979,1,1,3
"114",1.89753139412,5043,159.72,1,4,979,1,1,3
"115",0.953492809328,6232,231.21,1,4,1110,1,1,3
"116",Inf,6232,231.21,1,4,1110,1,1,3
"117",Inf,6232,231.21,1,4,1110,1,1,3
"118",Inf,6232,231.21,1,4,1110,1,1,3
"119",1.89459211847,6232,231.21,1,4,1110,1,1,3
"120",0.940422705551,6232,241.25,1,4,1116,1,1,3
"121",NA,6232,241.25,1,4,1116,1,1,3
"122",1,5224,164.58,1,3,1126,1,1,3
