"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,769,323.62,1,3,2264,1,1,0
"2",1.11094186211,769,323.62,1,3,2264,1,1,0
"3",1.44392658371,769,323.62,1,3,2264,1,1,0
"4",1,769,323.62,1,3,2264,1,1,0
"5",1.36837317834,769,323.62,1,3,2264,1,1,0
"6",1.34854803222,769,323.62,1,3,2264,1,1,0
"7",1.00117110311,769,323.62,1,3,2264,1,1,0
"8",1.97820543097,769,323.62,1,3,2264,1,1,0
"9",Inf,769,323.62,1,3,2264,1,1,0
"10",2.20014073184,769,323.62,1,3,2264,1,1,0
"11",1.85523918856,769,323.62,1,3,2264,1,1,0
"12",0.956693963488,769,354.74,1,3,2171,1,1,0
"13",1.05039797994,769,354.74,1,3,2171,1,1,0
"14",0.964835065771,769,354.74,1,3,2171,1,1,0
"15",1.40380351524,769,354.74,1,3,2171,1,1,0
"16",1.0186547165,769,354.74,1,3,2171,1,1,0
"17",1.0333232798,769,354.74,1,3,2171,1,1,0
"18",NA,769,354.74,1,3,2171,1,1,0
"19",1,769,323.62,1,3,2264,1,1,0
"20",1.06955447869,769,323.62,1,3,2264,1,1,0
"21",1.08307648186,769,323.62,1,3,2264,1,1,0
"22",1.35001059165,769,323.62,1,3,2264,1,1,0
"23",Inf,769,323.62,1,3,2264,1,1,0
"24",1.38162080768,769,323.62,1,3,2264,1,1,0
"25",1.53894079226,769,323.62,1,3,2264,1,1,0
"26",1.42569894202,769,323.62,1,3,2264,1,1,0
"27",1.01726292229,769,323.62,1,3,2264,1,1,0
"28",1.57735496207,769,323.62,1,3,2264,1,1,0
"29",1.00169346208,769,323.62,1,3,2264,1,1,0
"30",1.00083914409,769,323.62,1,3,2264,1,1,0
"31",1.58451758973,769,323.62,1,3,2264,1,1,0
"32",1,769,323.62,1,3,2264,1,1,0
"33",1.4329974893,769,323.62,1,3,2264,1,1,0
"34",1.67779059242,769,323.62,1,3,2264,1,1,0
"35",Inf,769,323.62,1,3,2264,1,1,0
"36",NA,769,323.62,1,3,2264,1,1,0
"37",1,769,323.62,1,3,2264,1,1,0
"38",Inf,769,323.62,1,3,2264,1,1,0
"39",Inf,769,323.62,1,3,2264,1,1,0
"40",0.968071573226,769,353.73,1,3,2288,1,1,0
"41",1.27406397965,769,353.73,1,3,2288,1,1,0
"42",0.999222532265,769,353.73,1,3,2288,1,1,0
"43",0.968071573226,769,353.73,1,3,2288,1,1,0
"44",0.968071573226,769,353.73,1,3,2288,1,1,0
"45",0.968071573226,769,353.73,1,3,2288,1,1,0
"46",1.30140143848,769,353.73,1,3,2288,1,1,0
"47",1.80073782525,769,353.73,1,3,2288,1,1,0
"48",1.40297057314,769,353.73,1,3,2288,1,1,0
"49",1.20129452936,769,353.73,1,3,2288,1,1,0
"50",0.968071573226,769,353.73,1,3,2288,1,1,0
"51",1.53095853412,769,353.73,1,3,2288,1,1,0
"52",2.07192586008,769,353.73,1,3,2288,1,1,0
"53",0.955402429825,769,356,1,3,2171,1,1,0
"54",NA,769,356,1,3,2171,1,1,0
"55",1,769,323.62,1,3,2264,1,1,0
"56",Inf,769,323.62,1,3,2264,1,1,0
"57",0.956693963488,769,354.74,1,3,2171,1,1,0
"58",1.20232161413,769,354.74,1,3,2171,1,1,0
"59",Inf,769,354.74,1,3,2171,1,1,0
"60",0.956693963488,769,354.74,1,3,2171,1,1,0
"61",Inf,769,354.74,1,3,2171,1,1,0
"62",1.42563498397,769,354.74,1,3,2171,1,1,0
"63",0.970877356667,769,354.74,1,3,2171,1,1,0
"64",1.67062928308,769,354.74,1,3,2171,1,1,0
"65",0.956693963488,769,354.74,1,3,2171,1,1,0
"66",Inf,769,354.74,1,3,2171,1,1,0
"67",1.01726292229,769,354.74,1,3,2171,1,1,0
"68",0.964835065771,769,354.74,1,3,2171,1,1,0
"69",1.76123444391,769,354.74,1,3,2171,1,1,0
"70",1.00415362628,769,354.74,1,3,2171,1,1,0
"71",2.1209865371,769,354.74,1,3,2171,1,1,0
"72",1.00717489347,769,354.74,1,3,2171,1,1,0
"73",2.03886052261,769,354.74,1,3,2171,1,1,0
"74",NA,769,354.74,1,3,2171,1,1,0
"75",1,769,323.62,1,3,2264,1,1,0
"76",1.01726292229,769,323.62,1,3,2264,1,1,0
"77",2.11203402664,769,323.62,1,3,2264,1,1,0
"78",1.16843482976,769,323.62,1,3,2264,1,1,0
"79",Inf,769,323.62,1,3,2264,1,1,0
"80",1.41505976503,769,323.62,1,3,2264,1,1,0
"81",1.87679466953,769,323.62,1,3,2264,1,1,0
"82",1.66276000699,769,323.62,1,3,2264,1,1,0
"83",1.03760933967,769,323.62,1,3,2264,1,1,0
"84",1.01726292229,769,323.62,1,3,2264,1,1,0
"85",1,769,323.62,1,3,2264,1,1,0
"86",2.37860900738,769,323.62,1,3,2264,1,1,0
"87",1.81233350785,769,323.62,1,3,2264,1,1,0
"88",1.28660631843,769,323.62,1,3,2264,1,1,0
"89",Inf,769,323.62,1,3,2264,1,1,0
"90",1.14201688401,769,323.62,1,3,2264,1,1,0
"91",0.956693963488,769,354.74,1,3,2171,1,1,0
"92",NA,769,354.74,1,3,2171,1,1,0
"93",1,769,323.62,1,3,2264,1,1,0
"94",1.88468255536,769,323.62,1,3,2264,1,1,0
"95",1.87640037878,769,323.62,1,3,2264,1,1,0
"96",1.03724305183,769,323.62,1,3,2264,1,1,0
"97",1,769,323.62,1,3,2264,1,1,0
"98",1.13595777633,769,323.62,1,3,2264,1,1,0
"99",1,769,323.62,1,3,2264,1,1,0
"100",2.12778639612,769,323.62,1,3,2264,1,1,0
"101",1.6062323645,769,323.62,1,3,2264,1,1,0
"102",Inf,769,323.62,1,3,2264,1,1,0
"103",2.10987432291,769,323.62,1,3,2264,1,1,0
"104",1.18701668185,769,323.62,1,3,2264,1,1,0
"105",1,769,323.62,1,3,2264,1,1,0
"106",Inf,769,323.62,1,3,2264,1,1,0
"107",1.87532267024,769,323.62,1,3,2264,1,1,0
"108",1,769,323.62,1,3,2264,1,1,0
"109",1,769,323.62,1,3,2264,1,1,0
"110",NA,769,323.62,1,3,2264,1,1,0
