"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,486,15.7,1,3,3949,1,1,16
"2",Inf,486,15.7,1,3,3949,1,1,16
"3",0.965908012154,458,16.01,1,3,3875,1,1,16
"4",Inf,458,16.01,1,3,3875,1,1,16
"5",0.852844486189,822,51.62,1,3,6236,1,1,5
"6",Inf,822,51.62,1,3,6236,1,1,5
"7",1.2749411488,822,51.62,1,3,6236,1,1,5
"8",Inf,822,51.62,1,3,6236,1,1,5
"9",0.852844486189,822,51.62,1,3,6236,1,1,5
"10",1.48009691978,822,51.62,1,3,6236,1,1,5
"11",Inf,822,51.62,1,3,6236,1,1,5
"12",Inf,822,51.62,1,3,6236,1,1,5
"13",Inf,822,51.62,1,3,6236,1,1,5
"14",0.812860417163,788,52.75,1,3,5698,1,1,5
"15",0.751666539332,704,52.35,1,3,4870,1,1,5
"16",Inf,704,52.35,1,3,4870,1,1,5
"17",0.751666539332,704,52.35,1,3,4870,1,1,5
"18",0.7355453956,670,52.44,1,3,4723,1,1,5
"19",Inf,670,52.44,1,3,4723,1,1,5
"20",0.920477764386,670,52.44,1,3,4723,1,1,5
"21",Inf,670,52.44,1,3,4723,1,1,5
"22",1.10170908141,670,52.44,1,3,4723,1,1,5
"23",NA,670,52.44,1,3,4723,1,1,5
"24",1,486,15.7,1,3,3949,1,1,16
"25",1.3631675702,486,15.7,1,3,3949,1,1,16
"26",1,486,15.7,1,3,3949,1,1,16
"27",Inf,486,15.7,1,3,3949,1,1,16
"28",1.35632052828,486,15.7,1,3,3949,1,1,16
"29",1.54015947982,486,15.7,1,3,3949,1,1,16
"30",1,486,15.7,1,3,3949,1,1,16
"31",0.961307469221,466,16.08,1,3,3689,1,1,16
"32",1.49894261163,466,16.08,1,3,3689,1,1,16
"33",0.828408110089,538,30.05,1,3,3891,1,1,16
"34",0.828408110089,538,30.05,1,3,3891,1,1,16
"35",0.946739269409,538,30.05,1,3,3891,1,1,16
"36",1.17938725092,538,30.05,1,3,3891,1,1,16
"37",0.828408110089,538,30.05,1,3,3891,1,1,16
"38",NA,538,30.05,1,3,3891,1,1,16
"39",1,486,15.7,1,3,3949,1,1,16
"40",Inf,486,15.7,1,3,3949,1,1,16
"41",Inf,486,15.7,1,3,3949,1,1,16
"42",1.92315256268,486,15.7,1,3,3949,1,1,16
"43",1.10741850834,486,15.7,1,3,3949,1,1,16
"44",1,486,15.7,1,3,3949,1,1,16
"45",1.00592922223,486,15.7,1,3,3949,1,1,16
"46",Inf,486,15.7,1,3,3949,1,1,16
"47",1.81370027978,486,15.7,1,3,3949,1,1,16
"48",Inf,486,15.7,1,3,3949,1,1,16
"49",1.16488028156,486,15.7,1,3,3949,1,1,16
"50",1.94840504006,486,15.7,1,3,3949,1,1,16
"51",Inf,486,15.7,1,3,3949,1,1,16
"52",Inf,486,15.7,1,3,3949,1,1,16
"53",0.867609060706,534,18.79,1,4,3504,1,1,1
"54",Inf,534,18.79,1,4,3504,1,1,1
"55",0.903677548564,534,18.79,1,4,3504,1,1,1
"56",1.80942915954,534,18.79,1,4,3504,1,1,1
"57",1.14647750852,534,18.79,1,4,3504,1,1,1
"58",NA,534,18.79,1,4,3504,1,1,1
"59",1,486,15.7,1,3,3949,1,1,16
"60",0.8358454211,490,18.92,1,4,3520,1,1,1
"61",Inf,490,18.92,1,4,3520,1,1,1
"62",0.8358454211,490,18.92,1,4,3520,1,1,1
"63",Inf,490,18.92,1,4,3520,1,1,1
"64",0.966427757096,490,18.92,1,4,3520,1,1,1
"65",1.50278409506,490,18.92,1,4,3520,1,1,1
"66",Inf,490,18.92,1,4,3520,1,1,1
"67",0.975560151469,490,18.92,1,4,3520,1,1,1
"68",Inf,490,18.92,1,4,3520,1,1,1
"69",1.23257625356,490,18.92,1,4,3520,1,1,1
"70",0.8358454211,490,18.92,1,4,3520,1,1,1
"71",0.865864276556,490,18.92,1,4,3520,1,1,1
"72",Inf,490,18.92,1,4,3520,1,1,1
"73",Inf,490,18.92,1,4,3520,1,1,1
