"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,276,198.69,1,3,1888,1,1,11
"2",Inf,276,198.69,1,3,1888,1,1,11
"3",Inf,276,198.69,1,3,1888,1,1,11
"4",0.861550850021,360,337.61,1,3,2145,1,1,3
"5",1.25199903222,360,337.61,1,3,2145,1,1,3
"6",0.928559868038,360,337.61,1,3,2145,1,1,3
"7",1.43628359591,360,337.61,1,3,2145,1,1,3
"8",0.861550850021,360,337.61,1,3,2145,1,1,3
"9",Inf,360,337.61,1,3,2145,1,1,3
"10",Inf,360,337.61,1,3,2145,1,1,3
"11",Inf,360,337.61,1,3,2145,1,1,3
"12",1.79650734592,360,337.61,1,3,2145,1,1,3
"13",0.861550850021,360,337.61,1,3,2145,1,1,3
"14",0.861550850021,360,337.61,1,3,2145,1,1,3
"15",0.852335728834,360,348.8,1,3,2151,1,1,3
"16",0.848873081611,360,350.51,1,3,2132,1,1,3
"17",1.4388151452,360,350.51,1,3,2132,1,1,3
"18",Inf,360,350.51,1,3,2132,1,1,3
"19",1.44361154515,360,350.51,1,3,2132,1,1,3
"20",Inf,360,350.51,1,3,2132,1,1,3
"21",NA,360,350.51,1,3,2132,1,1,3
"22",1,276,198.69,1,3,1888,1,1,11
"23",1.38631041507,276,198.69,1,3,1888,1,1,11
"24",1.69521640801,276,198.69,1,3,1888,1,1,11
"25",Inf,276,198.69,1,3,1888,1,1,11
"26",Inf,276,198.69,1,3,1888,1,1,11
"27",1.99922035825,276,198.69,1,3,1888,1,1,11
"28",1.81212047455,276,198.69,1,3,1888,1,1,11
"29",Inf,276,198.69,1,3,1888,1,1,11
"30",1,276,198.69,1,3,1888,1,1,11
"31",Inf,276,198.69,1,3,1888,1,1,11
"32",1,276,198.69,1,3,1888,1,1,11
"33",1.92380810871,276,198.69,1,3,1888,1,1,11
"34",Inf,276,198.69,1,3,1888,1,1,11
"35",2.04561090859,276,198.69,1,3,1888,1,1,11
"36",Inf,276,198.69,1,3,1888,1,1,11
"37",2.10773549128,276,198.69,1,3,1888,1,1,11
"38",1.89617413613,276,198.69,1,3,1888,1,1,11
"39",0.541228923695,260,333.89,1,3,1319,0,0,3
"40",0.706922212198,260,333.89,1,3,1319,0,0,3
"41",NA,260,333.89,1,3,1319,0,0,3
"42",1,276,198.69,1,3,1888,1,1,11
"43",Inf,276,198.69,1,3,1888,1,1,11
"44",1.97477938227,276,198.69,1,3,1888,1,1,11
"45",1.14732613109,276,198.69,1,3,1888,1,1,11
"46",2.52817598433,276,198.69,1,3,1888,1,1,11
"47",1.09165985089,276,198.69,1,3,1888,1,1,11
"48",Inf,276,198.69,1,3,1888,1,1,11
"49",0.973530102928,276,212.77,1,3,1888,1,1,11
"50",Inf,276,212.77,1,3,1888,1,1,11
"51",Inf,276,212.77,1,3,1888,1,1,11
"52",1.03139629358,276,212.77,1,3,1888,1,1,11
"53",Inf,276,212.77,1,3,1888,1,1,11
"54",0.723511094095,276,354.48,1,3,1624,1,1,3
"55",1.4013157814,276,354.48,1,3,1624,1,1,3
"56",Inf,276,354.48,1,3,1624,1,1,3
"57",Inf,276,354.48,1,3,1624,1,1,3
"58",0.723511094095,276,354.48,1,3,1624,1,1,3
"59",Inf,276,354.48,1,3,1624,1,1,3
"60",Inf,276,354.48,1,3,1624,1,1,3
"61",NA,276,354.48,1,3,1624,1,1,3
"62",1,276,198.69,1,3,1888,1,1,11
"63",Inf,276,198.69,1,3,1888,1,1,11
"64",0.999650396539,280,171.12,1,4,1742,1,1,3
"65",Inf,280,171.12,1,4,1742,1,1,3
"66",Inf,280,171.12,1,4,1742,1,1,3
"67",1.11969492675,280,171.12,1,4,1742,1,1,3
"68",Inf,280,171.12,1,4,1742,1,1,3
"69",0.999650396539,280,171.12,1,4,1742,1,1,3
"70",0.999650396539,280,171.12,1,4,1742,1,1,3
"71",Inf,280,171.12,1,4,1742,1,1,3
"72",Inf,280,171.12,1,4,1742,1,1,3
"73",1.09297559322,280,171.12,1,4,1742,1,1,3
"74",0.999650396539,280,171.12,1,4,1742,1,1,3
"75",0.999650396539,280,171.12,1,4,1742,1,1,3
"76",1.28837363701,280,171.12,1,4,1742,1,1,3
"77",1.07741868644,280,171.12,1,4,1742,1,1,3
"78",1.017579922,280,171.12,1,4,1742,1,1,3
"79",2.07670241658,280,171.12,1,4,1742,1,1,3
"80",Inf,280,171.12,1,4,1742,1,1,3
"81",NA,280,171.12,1,4,1742,1,1,3
"82",1,276,198.69,1,3,1888,1,1,11
"83",Inf,276,198.69,1,3,1888,1,1,11
"84",1.28231164924,276,198.69,1,3,1888,1,1,11
"85",1,276,198.69,1,3,1888,1,1,11
"86",1.87064076802,276,198.69,1,3,1888,1,1,11
"87",0.885521640645,308,223.51,1,3,1524,1,1,3
"88",Inf,308,223.51,1,3,1524,1,1,3
"89",0.955525522496,308,223.51,1,3,1524,1,1,3
"90",0.841749260323,352,341.65,1,3,2056,1,1,3
"91",0.843173089872,352,341.65,1,3,2056,1,1,3
"92",1.36166712921,352,341.65,1,3,2056,1,1,3
"93",1.49322910305,352,341.65,1,3,2056,1,1,3
"94",1.14964523162,352,341.65,1,3,2056,1,1,3
"95",0.849488321908,352,341.65,1,3,2056,1,1,3
"96",0.813148296842,336,338.07,1,3,1885,1,1,3
"97",0.786209777254,300,280.27,1,4,1437,1,1,1
"98",0.765498868769,300,301.57,1,4,1447,1,1,1
"99",0.785440664423,300,301.57,1,4,1447,1,1,1
"100",NA,300,301.57,1,4,1447,1,1,1
"101",1,276,198.69,1,3,1888,1,1,11
"102",1.99922035825,276,198.69,1,3,1888,1,1,11
"103",Inf,276,198.69,1,3,1888,1,1,11
"104",1.94478292221,276,198.69,1,3,1888,1,1,11
"105",1.58392708929,276,198.69,1,3,1888,1,1,11
"106",1.64198672824,276,198.69,1,3,1888,1,1,11
"107",1.65708232463,276,198.69,1,3,1888,1,1,11
"108",1,276,198.69,1,3,1888,1,1,11
"109",1.27760164997,276,198.69,1,3,1888,1,1,11
"110",Inf,276,198.69,1,3,1888,1,1,11
"111",1,276,198.69,1,3,1888,1,1,11
"112",1.49096720679,276,198.69,1,3,1888,1,1,11
"113",Inf,276,198.69,1,3,1888,1,1,11
"114",1.98741007028,276,198.69,1,3,1888,1,1,11
"115",Inf,276,198.69,1,3,1888,1,1,11
"116",1,276,198.69,1,3,1888,1,1,11
"117",0.717544339313,252,300.12,1,4,1416,1,1,1
"118",Inf,252,300.12,1,4,1416,1,1,1
"119",NA,252,300.12,1,4,1416,1,1,1
