"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,29590,15.84,3,3,10287,1,1,28
"2",Inf,29590,15.84,3,3,10287,1,1,28
"3",1.22339256525,29590,15.84,3,3,10287,1,1,28
"4",Inf,29590,15.84,3,3,10287,1,1,28
"5",Inf,29590,15.84,3,3,10287,1,1,28
"6",1.10428082855,29590,15.84,3,3,10287,1,1,28
"7",Inf,29590,15.84,3,3,10287,1,1,28
"8",Inf,29590,15.84,3,3,10287,1,1,28
"9",1.65615802196,29590,15.84,3,3,10287,1,1,28
"10",Inf,29590,15.84,3,3,10287,1,1,28
"11",1.04005268352,29590,15.84,3,3,10287,1,1,28
"12",1.02534975622,29590,15.84,3,3,10287,1,1,28
"13",0.89487338691,50235,51.85,4,3,16559,1,1,9
"14",NA,50235,51.85,4,3,16559,1,1,9
"15",1,29590,15.84,3,3,10287,1,1,28
"16",0.981219954279,61035,67.69,4,3,21740,1,1,9
"17",Inf,61035,67.69,4,3,21740,1,1,9
"18",0.978750216808,61035,68.15,4,3,21680,1,1,9
"19",Inf,61035,68.15,4,3,21680,1,1,9
"20",Inf,61035,68.15,4,3,21680,1,1,9
"21",0.90310106544,49716,68.25,4,3,19630,1,1,9
"22",0.869388081623,49927,68.31,4,3,17869,1,1,9
"23",0.869388081623,49927,68.31,4,3,17869,1,1,9
"24",Inf,49927,68.31,4,3,17869,1,1,9
"25",0.869388081623,49927,68.31,4,3,17869,1,1,9
"26",NA,49927,68.31,4,3,17869,1,1,9
"27",1,29590,15.84,3,3,10287,1,1,28
"28",0.995689185676,29322,15.8,3,3,10200,1,1,28
"29",Inf,29322,15.8,3,3,10200,1,1,28
"30",Inf,29322,15.8,3,3,10200,1,1,28
"31",Inf,29322,15.8,3,3,10200,1,1,28
"32",0.995689185676,29322,15.8,3,3,10200,1,1,28
"33",0.995689185676,29322,15.8,3,3,10200,1,1,28
"34",1.03005744964,29322,15.8,3,3,10200,1,1,28
"35",0.815027368742,30924,31.35,3,3,10483,1,1,28
"36",0.815027368742,30924,31.35,3,3,10483,1,1,28
"37",Inf,30924,31.35,3,3,10483,1,1,28
"38",0.877685984403,30924,31.35,3,3,10483,1,1,28
"39",0.78733708298,31458,36.93,3,3,10541,1,1,28
"40",NA,31458,36.93,3,3,10541,1,1,28
"41",1,29590,15.84,3,3,10287,1,1,28
"42",Inf,29590,15.84,3,3,10287,1,1,28
"43",Inf,29590,15.84,3,3,10287,1,1,28
"44",1.33830314219,29590,15.84,3,3,10287,1,1,28
"45",Inf,29590,15.84,3,3,10287,1,1,28
"46",Inf,29590,15.84,3,3,10287,1,1,28
"47",Inf,29590,15.84,3,3,10287,1,1,28
"48",Inf,29590,15.84,3,3,10287,1,1,28
"49",Inf,29590,15.84,3,3,10287,1,1,28
"50",1.04548147674,29590,15.84,3,3,10287,1,1,28
"51",1,29590,15.84,3,3,10287,1,1,28
"52",Inf,29590,15.84,3,3,10287,1,1,28
"53",Inf,29590,15.84,3,3,10287,1,1,28
"54",Inf,29590,15.84,3,3,10287,1,1,28
"55",Inf,29590,15.84,3,3,10287,1,1,28
"56",Inf,29590,15.84,3,3,10287,1,1,28
"57",1,29590,15.84,3,3,10287,1,1,28
"58",0.979543298082,28401,15.96,3,3,10210,1,1,28
"59",0.979543298082,28401,15.96,3,3,10210,1,1,28
"60",NA,28401,15.96,3,3,10210,1,1,28
"61",1,29590,15.84,3,3,10287,1,1,28
"62",1.17296884894,29590,15.84,3,3,10287,1,1,28
"63",Inf,29590,15.84,3,3,10287,1,1,28
"64",Inf,29590,15.84,3,3,10287,1,1,28
"65",Inf,29590,15.84,3,3,10287,1,1,28
"66",1.0162950015,29590,15.84,3,3,10287,1,1,28
"67",Inf,29590,15.84,3,3,10287,1,1,28
"68",Inf,29590,15.84,3,3,10287,1,1,28
"69",1,29590,15.84,3,3,10287,1,1,28
"70",Inf,29590,15.84,3,3,10287,1,1,28
"71",Inf,29590,15.84,3,3,10287,1,1,28
"72",Inf,29590,15.84,3,3,10287,1,1,28
"73",0.969714061622,32560,17.91,3,3,12771,1,1,9
"74",Inf,32560,17.91,3,3,12771,1,1,9
"75",0.969714061622,32560,17.91,3,3,12771,1,1,9
"76",0.951261590672,32292,18.5,3,3,12620,1,1,9
"77",Inf,32292,18.5,3,3,12620,1,1,9
"78",0.951261590672,32292,18.5,3,3,12620,1,1,9
"79",NA,32292,18.5,3,3,12620,1,1,9
"80",1,29590,15.84,3,3,10287,1,1,28
"81",Inf,29590,15.84,3,3,10287,1,1,28
"82",0.756650756167,29606,29.12,3,4,10331,1,1,6
"83",1.32610041833,29606,29.12,3,4,10331,1,1,6
"84",0.758310076924,29606,29.12,3,4,10331,1,1,6
"85",Inf,29606,29.12,3,4,10331,1,1,6
"86",Inf,29606,29.12,3,4,10331,1,1,6
"87",Inf,29606,29.12,3,4,10331,1,1,6
"88",Inf,29606,29.12,3,4,10331,1,1,6
"89",0.756650756167,29606,29.12,3,4,10331,1,1,6
"90",Inf,29606,29.12,3,4,10331,1,1,6
"91",Inf,29606,29.12,3,4,10331,1,1,6
"92",0.923085875741,29606,29.12,3,4,10331,1,1,6
"93",Inf,29606,29.12,3,4,10331,1,1,6
"94",Inf,29606,29.12,3,4,10331,1,1,6
"95",Inf,29606,29.12,3,4,10331,1,1,6
"96",Inf,29606,29.12,3,4,10331,1,1,6
"97",0.786128724734,29606,29.12,3,4,10331,1,1,6
"98",NA,29606,29.12,3,4,10331,1,1,6
