"","WNS","Cycles","FMax","LUs","Pins","Regs","Blocks","RAM","DPS"
"1",1,7586,224.37,2,3,7285,1,1,39
"2",Inf,7586,224.37,2,3,7285,1,1,39
"3",1.3530737677,7586,224.37,2,3,7285,1,1,39
"4",Inf,7586,224.37,2,3,7285,1,1,39
"5",1.00630508689,7586,224.37,2,3,7285,1,1,39
"6",Inf,7586,224.37,2,3,7285,1,1,39
"7",Inf,7586,224.37,2,3,7285,1,1,39
"8",0.94693346246,6505,222.92,2,3,7347,1,1,39
"9",Inf,6505,222.92,2,3,7347,1,1,39
"10",0.94693346246,6505,222.92,2,3,7347,1,1,39
"11",Inf,6505,222.92,2,3,7347,1,1,39
"12",0.94693346246,6505,222.92,2,3,7347,1,1,39
"13",Inf,6505,222.92,2,3,7347,1,1,39
"14",Inf,6505,222.92,2,3,7347,1,1,39
"15",Inf,6505,222.92,2,3,7347,1,1,39
"16",1.31164625805,6505,222.92,2,3,7347,1,1,39
"17",Inf,6505,222.92,2,3,7347,1,1,39
"18",Inf,6505,222.92,2,3,7347,1,1,39
"19",Inf,6505,222.92,2,3,7347,1,1,39
"20",1.16055046015,6505,222.92,2,3,7347,1,1,39
"21",Inf,6505,222.92,2,3,7347,1,1,39
"22",Inf,6505,222.92,2,3,7347,1,1,39
"23",Inf,6505,222.92,2,3,7347,1,1,39
"24",Inf,6505,222.92,2,3,7347,1,1,39
"25",0.921898624532,5126,179.44,2,3,6513,1,1,41
"26",NA,5126,179.44,2,3,6513,1,1,41
"27",1,7586,224.37,2,3,7285,1,1,39
"28",0.91412519357,6353,242.9,2,3,7456,1,1,39
"29",1.08693556575,6353,242.9,2,3,7456,1,1,39
"30",Inf,6353,242.9,2,3,7456,1,1,39
"31",Inf,6353,242.9,2,3,7456,1,1,39
"32",1.24435719715,6353,242.9,2,3,7456,1,1,39
"33",1.31360126183,6353,242.9,2,3,7456,1,1,39
"34",Inf,6353,242.9,2,3,7456,1,1,39
"35",0.939372453461,6353,242.9,2,3,7456,1,1,39
"36",Inf,6353,242.9,2,3,7456,1,1,39
"37",0.91948467252,6353,242.9,2,3,7456,1,1,39
"38",Inf,6353,242.9,2,3,7456,1,1,39
"39",0.91412519357,6353,242.9,2,3,7456,1,1,39
"40",1.12458067244,6353,242.9,2,3,7456,1,1,39
"41",Inf,6353,242.9,2,3,7456,1,1,39
"42",Inf,6353,242.9,2,3,7456,1,1,39
"43",1.18070269475,6353,242.9,2,3,7456,1,1,39
"44",NA,6353,242.9,2,3,7456,1,1,39
"45",1,7586,224.37,2,3,7285,1,1,39
"46",1.29194224751,7586,224.37,2,3,7285,1,1,39
"47",Inf,7586,224.37,2,3,7285,1,1,39
"48",Inf,7586,224.37,2,3,7285,1,1,39
"49",Inf,7586,224.37,2,3,7285,1,1,39
"50",Inf,7586,224.37,2,3,7285,1,1,39
"51",Inf,7586,224.37,2,3,7285,1,1,39
"52",1.01811447039,7586,224.37,2,3,7285,1,1,39
"53",1.70671805373,7586,224.37,2,3,7285,1,1,39
"54",Inf,7586,224.37,2,3,7285,1,1,39
